Age,Gender,Weight (kg),Height (cm),Waist (cm),Hip (cm),Neck (cm),Body Fat Percentage
64,Female,75.1,171.2,77.6,80.9,41.7,14.480544820869113
25,Male,114.2,172.4,101.5,103.7,35.8,29.95706399060333
34,Male,103.3,155.7,102.1,83.7,35.5,33.69321201858719
31,Male,68.2,192.2,85.2,127.9,33.6,17.574537383781262
47,Male,116.0,150.2,118.2,135.7,32.4,45.01250654528479
35,Female,102.9,157.2,60.0,97.7,42.4,17.20888274611582
63,Male,112.8,176.7,100.5,119.0,30.9,31.415271523676324
53,Female,59.5,159.4,114.5,85.3,37.5,40.66253174264807
38,Male,52.3,181.6,111.4,101.8,35.4,33.9816089287537
48,Female,84.5,150.2,93.9,114.6,34.1,48.88978123731948
50,Male,81.4,154.9,113.7,86.3,41.4,37.09611820172614
40,Male,110.9,188.2,66.5,102.6,43.2,-9.26140802375943
55,Female,62.1,178.8,92.6,137.3,32.9,49.79389161756268
22,Male,51.7,151.0,118.9,90.0,31.2,45.735351737148676
32,Female,87.0,160.3,119.5,117.2,35.6,56.75989689975876
47,Male,62.4,161.9,100.7,130.0,36.6,30.971557110902324
33,Female,53.5,192.5,70.1,126.3,30.8,33.450694833214754
57,Female,51.6,179.1,66.8,126.3,37.1,32.436020011227015
46,Male,60.0,177.1,115.3,83.5,44.3,32.11776245981736
45,Female,76.3,154.3,112.8,138.4,35.8,64.18445590325223
23,Male,111.9,182.8,78.9,123.6,43.5,5.588124720437179
22,Female,103.2,157.8,115.9,137.3,42.7,61.183833994594806
55,Male,87.1,176.1,67.8,138.8,36.5,2.3854809596595032
42,Female,80.1,179.6,77.7,101.4,40.6,23.956964475731127
45,Female,81.9,192.1,98.6,112.6,33.1,38.82750216507009
18,Male,111.9,190.3,70.2,123.8,32.0,7.105990469580661
31,Female,100.7,159.5,119.3,130.9,30.0,64.27484687072888
36,Male,62.0,195.8,73.4,138.3,31.1,9.880910482717013
48,Male,115.8,150.1,74.7,138.5,39.4,11.103189050705623
32,Male,104.1,166.5,88.5,99.7,43.3,16.985085856710725
36,Male,52.4,153.3,106.7,120.8,44.7,31.39442969911363
55,Male,85.2,186.0,67.2,88.8,37.2,-0.5660819972464992
49,Male,95.7,175.0,100.0,128.6,32.1,30.760749299100723
48,Male,54.3,158.7,66.0,89.6,30.0,10.197413352911553
54,Male,74.7,154.3,65.7,133.4,44.8,-7.557532948041683
43,Male,95.4,161.3,62.5,138.7,42.3,-9.839620063009079
58,Male,107.1,196.0,92.7,85.2,37.9,19.201459225073222
42,Male,118.4,183.9,86.2,110.7,33.7,19.524109307550702
64,Female,58.5,162.1,78.4,95.9,37.8,27.44427241087965
57,Male,94.3,194.7,91.6,108.2,42.6,15.310537625727932
25,Male,112.5,156.8,90.1,97.6,38.3,23.833842941015803
21,Male,100.2,184.4,88.4,83.9,44.9,12.607565203478543
48,Female,94.3,171.2,70.3,103.6,31.6,27.943862188209778
49,Male,65.0,163.4,113.8,92.3,44.7,33.604814867747336
51,Male,107.1,163.1,97.2,113.0,38.8,27.16440322239191
20,Male,89.4,175.0,67.6,120.8,38.5,0.07483709527843985
58,Female,57.8,196.6,75.3,104.3,35.4,22.80296157495735
43,Male,115.5,187.1,105.9,92.2,30.6,32.67463907485978
21,Female,119.2,183.1,106.6,91.5,41.4,31.76018350120222
19,Male,87.6,193.8,103.5,80.1,34.1,28.419301268335857
36,Male,104.4,178.5,107.4,122.1,35.3,32.46794675442993
40,Female,90.8,159.6,95.9,95.2,38.0,36.32801654854586
42,Female,79.6,198.9,77.3,138.2,30.9,39.84848685369053
64,Female,78.6,176.7,81.5,124.8,30.2,41.88945220874615
24,Male,117.5,165.8,90.6,97.7,31.6,27.04702865031436
25,Female,75.8,188.9,74.8,89.5,41.0,13.95381271439686
20,Female,84.3,173.2,111.2,117.5,32.9,50.86869347921612
40,Male,67.4,150.6,104.8,131.9,37.7,35.04647171236212
64,Male,67.7,166.0,118.8,115.1,32.8,41.80541080119286
50,Male,74.9,172.9,84.9,80.7,34.3,20.008340483576603
45,Female,114.7,168.6,112.2,127.2,30.6,57.21003636789732
39,Male,77.8,177.6,106.7,137.9,35.5,32.138335185665824
52,Male,88.7,159.2,109.9,82.8,32.0,39.186643353112515
51,Female,88.2,178.6,101.3,128.5,38.4,47.64505959437247
47,Male,90.8,199.3,80.9,123.1,42.5,5.982078458958085
64,Male,107.4,187.7,74.6,103.8,43.2,0.730441865691887
53,Female,113.1,184.2,76.3,118.0,44.0,28.54000136979124
31,Female,64.6,160.0,94.0,89.5,31.9,35.49947071696988
26,Female,110.2,179.1,112.8,123.2,37.7,50.21762923314236
39,Female,88.3,191.0,86.9,114.9,31.7,35.7405054450486
45,Female,114.7,162.0,95.9,85.2,34.6,32.47353193819879
58,Male,114.1,154.3,104.0,132.1,33.5,36.22137055265455
31,Female,77.3,183.1,111.3,87.7,30.2,37.12097681076267
32,Female,95.6,183.7,98.9,106.3,44.0,33.63833636520775
54,Male,111.0,190.2,97.8,87.9,41.7,20.96875710186697
41,Female,76.9,181.5,119.3,118.8,37.8,50.34299492746237
51,Female,53.1,192.4,111.7,124.3,35.2,47.717582071893446
60,Male,75.2,163.3,104.0,136.8,36.2,32.88185953415996
62,Male,75.6,151.8,109.9,95.2,33.1,40.16355373175884
61,Male,106.5,186.6,120.0,102.0,44.5,32.86268483529858
20,Male,71.7,169.3,90.3,103.2,34.3,24.429046180717364
40,Male,112.6,160.5,102.3,85.8,31.1,35.35092593038763
37,Male,88.4,152.6,108.8,128.5,38.5,36.46424473781036
62,Female,91.0,187.8,86.7,85.0,41.2,17.984021203304792
32,Male,106.5,191.3,117.3,100.3,44.6,30.611946025004045
60,Male,59.4,169.5,82.9,91.4,39.3,15.1487830300606
33,Male,51.3,194.3,74.6,119.9,32.8,9.680641636532812
24,Male,54.0,170.8,100.6,134.3,35.9,29.657151533168417
50,Female,52.1,197.6,64.8,124.8,34.7,27.5441770210939
36,Male,99.0,199.2,67.6,126.5,30.3,4.986960843260647
35,Female,67.1,190.9,118.2,84.7,35.9,34.43522509958461
58,Female,110.0,162.8,76.9,124.3,42.0,38.26320184647244
35,Male,111.8,168.3,62.0,83.8,36.1,-2.784269584414858
20,Female,74.9,176.6,88.5,109.1,42.8,32.51844497004862
20,Male,63.6,166.4,112.0,121.5,41.1,34.034832148585224
53,Female,84.9,190.9,80.0,95.3,40.8,19.323249120460957
33,Female,107.1,196.4,85.2,121.0,35.7,34.63773536781031
60,Female,97.9,199.3,69.4,132.8,30.8,34.350125698396994
40,Female,51.8,166.8,80.8,132.7,43.2,42.105949095528786
40,Male,50.5,163.5,117.9,91.5,39.6,38.52780138163962
32,Female,58.0,158.1,112.6,96.5,31.4,47.85101551794054
26,Male,73.6,152.4,104.4,120.0,31.2,38.11302897897633
57,Female,87.6,158.9,107.2,130.5,39.2,56.17104722152595
55,Male,107.2,164.2,100.2,107.3,36.3,30.408702243275798
35,Female,60.0,169.6,67.1,135.3,32.9,40.97666729161864
55,Male,60.7,155.5,67.0,114.5,33.6,8.134496122017083
23,Female,110.5,191.0,92.2,95.7,35.8,27.768853471598618
61,Male,114.7,181.0,95.7,81.2,41.3,21.317879759831442
54,Male,88.6,178.1,118.3,128.4,33.0,39.18096315611285
63,Female,104.9,177.3,87.1,85.6,40.5,21.32139204302075
23,Female,74.0,164.5,115.0,84.7,32.7,41.30392506973311
38,Female,116.2,196.9,119.4,126.6,41.5,47.99633628169977
47,Female,113.3,161.6,110.7,81.9,43.5,33.84664512645594
45,Female,109.5,183.4,83.9,130.6,36.6,40.90114073305773
37,Male,50.9,162.7,105.2,115.9,39.6,31.713702747903483
36,Male,86.6,199.5,92.7,118.2,34.0,21.2149162790991
31,Female,51.9,195.6,71.9,136.3,43.9,32.16442464953599
18,Female,97.4,163.2,67.8,132.0,36.4,40.06290741517023
44,Female,62.8,199.4,64.2,84.6,37.5,5.099559486705459
49,Female,94.8,181.3,79.6,131.2,33.9,41.02210029960332
46,Female,56.9,186.4,101.3,120.0,32.9,44.41203138054652
48,Male,103.0,164.1,114.8,99.0,33.4,39.964456654165076
42,Male,100.9,160.8,79.2,131.2,37.1,15.427099267113476
24,Male,50.3,192.9,91.9,81.4,32.1,22.92406350677186
56,Female,105.4,163.8,88.1,130.3,35.8,48.21967455704879
63,Female,61.5,195.9,66.5,117.2,35.7,24.75128809934887
33,Female,57.7,168.3,105.6,95.7,36.5,39.26053903895132
61,Male,85.0,150.5,91.2,80.4,36.3,27.291610076102756
28,Female,91.3,179.6,115.0,111.3,34.1,47.694185281061095
35,Female,57.2,167.7,110.1,105.3,35.5,45.9618195410153
61,Female,71.3,198.8,76.7,131.8,43.5,31.736849875911048
59,Male,78.5,169.3,78.8,127.3,30.6,18.844862961480146
22,Male,116.1,165.7,92.2,115.4,31.3,28.27609769792639
19,Male,67.6,178.3,67.5,89.1,43.9,-7.414327476806989
27,Male,68.2,186.5,75.1,123.6,34.1,10.171743065577743
43,Male,96.2,198.3,109.3,115.6,34.6,30.535484280407843
41,Male,100.9,153.5,69.2,81.4,35.2,9.130571833045849
43,Female,50.8,171.0,92.8,125.7,31.6,47.9237983153472
33,Female,59.4,183.2,83.6,129.9,41.5,38.468130321173135
42,Female,75.0,150.2,72.1,126.5,32.4,45.23554736200299
55,Male,94.2,174.5,118.2,90.6,40.5,36.12516095140535
23,Male,59.4,190.3,109.5,110.2,33.5,32.499758085296264
29,Male,75.0,152.5,76.0,111.6,40.2,11.146359410787113
26,Male,55.6,167.0,107.1,136.1,44.6,29.02776437992219
59,Female,90.0,170.0,60.4,135.5,37.6,35.85956663802364
25,Female,79.8,185.8,76.7,83.7,34.8,15.874123539687162
48,Male,105.2,164.8,66.5,140.0,35.7,3.678056353382999
58,Male,90.2,162.3,85.4,127.2,35.8,21.168400763436296
49,Male,96.1,155.8,98.3,102.5,31.9,33.55511073161972
24,Female,97.0,199.8,70.3,124.6,42.3,26.011806685218062
49,Male,91.3,173.6,74.3,102.6,35.7,10.09210153357327
59,Female,51.1,152.4,83.6,136.2,40.8,50.1813775174104
42,Female,108.2,153.8,97.8,102.7,34.1,44.20194228276682
50,Male,114.2,156.4,78.6,126.0,35.3,17.268354044056252
45,Male,87.4,160.6,96.1,89.3,43.3,23.823338930394698
28,Male,57.9,187.0,81.0,131.1,36.4,13.096266553082614
48,Female,95.8,177.9,75.5,117.2,35.3,33.37986252920621
27,Female,75.5,188.8,111.3,128.5,34.7,50.24962960492513
19,Female,55.1,151.0,83.0,105.1,43.4,34.77441062106868
63,Female,109.8,163.3,115.1,100.8,36.3,47.10645966261069
61,Female,99.8,170.3,78.3,112.0,43.2,30.51847198145407
21,Female,106.3,171.5,92.6,103.3,34.5,36.86553836137466
39,Male,105.7,152.7,63.2,110.8,44.7,-11.246376559781197
62,Male,75.0,175.6,100.8,105.8,37.5,27.956121625766627
45,Male,83.8,164.3,107.7,91.8,32.5,36.76258283761979
27,Female,66.4,159.6,118.3,138.6,36.4,64.35330225741404
19,Male,102.8,183.6,110.2,81.0,40.2,30.4356845422912
48,Male,86.7,154.2,78.8,135.5,43.3,10.527980323701797
59,Male,95.5,193.4,93.4,129.6,31.9,23.89689448770895
40,Female,75.0,195.0,95.5,105.3,38.4,31.47342917095733
33,Male,97.5,166.3,63.4,99.3,38.0,-3.1123603093582233
26,Male,97.0,199.3,64.4,89.9,34.9,-3.012654923532523
60,Female,103.9,170.1,79.5,88.0,36.1,22.696960684347857
23,Male,60.9,198.1,104.7,113.1,34.6,28.1228199153432
42,Male,93.7,199.3,77.1,86.3,34.5,9.623095803396666
21,Female,111.6,191.3,112.4,108.6,38.0,41.02240966456753
29,Male,56.6,156.2,98.7,128.9,30.9,34.29151492973591
41,Female,117.3,179.2,88.1,125.4,37.2,41.31536090644806
44,Female,64.5,186.6,92.4,88.0,34.9,25.699487448158834
20,Male,115.6,153.9,79.9,137.7,37.0,17.406329209506225
29,Female,110.8,194.7,118.4,97.2,44.6,35.24563266258747
64,Male,103.9,192.6,70.6,122.3,41.1,-2.0842452870243164
47,Male,64.7,196.7,111.6,98.0,42.9,27.57142938957611
29,Male,65.2,175.7,100.7,117.0,35.6,29.01290674617553
58,Male,68.2,166.2,102.7,114.3,40.6,28.93061085123003
59,Male,106.7,175.3,110.1,90.7,36.9,33.63167925937063
57,Female,63.1,186.5,68.2,119.2,39.0,27.09863879554922
62,Female,90.7,170.8,101.7,99.6,36.6,38.53261423136041
39,Male,104.4,167.6,106.6,116.7,32.0,35.80783298136288
32,Female,82.2,153.9,119.1,112.5,44.2,53.24851035692427
45,Male,108.9,172.4,104.9,130.6,40.6,29.12802563443921
34,Male,89.3,169.6,117.1,92.8,39.0,37.24355938914999
61,Male,91.7,183.2,111.0,89.1,38.4,31.917444290920002
42,Male,97.4,171.9,112.5,131.3,40.8,33.44241462578236
60,Female,109.2,150.2,115.0,106.7,38.0,52.89275798593843
62,Male,50.3,174.2,91.9,126.9,33.2,25.333863936734986
20,Male,77.5,188.7,102.7,137.6,30.1,30.987662627726593
53,Male,117.4,197.3,67.4,112.7,35.7,-0.3179525332236608
48,Male,56.9,159.6,81.4,98.0,38.5,16.331398087458012
32,Female,66.3,171.1,112.8,127.7,35.6,54.99583452924571
63,Male,90.0,192.4,118.7,135.9,38.0,34.499694401738054
45,Female,110.1,152.1,66.7,94.7,40.0,22.111718344200654
60,Female,56.8,167.5,95.2,121.3,42.1,43.68366988145368
48,Female,50.3,179.6,104.1,126.8,34.5,49.3440663867122
62,Female,98.1,167.1,91.0,81.6,39.5,24.355794432295113
37,Male,91.8,174.5,74.0,115.5,43.4,1.8646295273862847
62,Female,69.0,197.0,62.5,118.0,32.3,24.60010662928562
38,Female,117.0,151.2,117.1,118.2,40.4,57.200604182377276
44,Female,89.1,153.9,74.2,85.0,43.7,18.2252253946491
36,Female,96.4,159.8,77.9,81.3,40.1,18.69304923155164
53,Female,76.5,169.2,98.6,97.6,31.4,39.01312072403579
29,Male,114.5,173.5,85.7,101.5,34.2,20.557071762800945
52,Male,69.3,151.8,85.4,88.7,32.8,25.40160925764087
50,Female,102.4,194.1,65.0,110.6,43.7,17.30156204041731
53,Female,58.2,187.9,119.5,93.7,44.9,35.718247560816565
58,Male,87.6,163.4,77.1,100.3,36.5,13.647365031581899
40,Female,90.4,162.8,66.6,97.6,43.4,18.857041108048406
30,Male,63.2,151.3,100.9,126.3,32.0,35.94260149713284
47,Female,72.7,170.0,105.1,132.6,30.1,56.343641762113634
27,Female,62.5,162.7,61.5,97.9,38.5,18.939109089735894
58,Male,109.2,180.9,76.2,102.6,44.8,1.7493228945731403
37,Female,96.0,177.4,71.7,128.9,38.4,35.67382433079524
23,Female,81.3,197.9,107.3,125.5,44.7,41.47247277859458
48,Male,88.9,189.8,71.0,122.5,36.8,3.3434899762999635
36,Female,74.1,154.0,74.1,122.5,35.7,41.63270845267459
20,Male,80.0,185.2,119.2,97.8,43.9,32.997317368283404
27,Female,93.4,155.4,102.1,136.2,30.7,60.8472938247678
27,Male,64.8,166.2,83.3,128.6,34.9,19.549131391571905
38,Female,59.4,177.8,105.2,92.7,36.7,35.1234395683141
19,Male,116.1,174.8,88.0,119.7,31.3,23.921777757157372
62,Male,66.6,184.7,72.8,89.3,37.8,4.90333583944539
56,Male,84.7,190.5,89.3,114.7,35.6,19.304021562413595
62,Female,103.3,191.5,106.3,97.3,36.6,34.29247430311773
47,Female,88.9,152.9,70.7,86.3,40.3,19.20028483702839
63,Male,94.4,182.1,89.1,116.2,31.1,23.528174206560323
45,Female,61.4,198.1,67.2,133.1,44.4,27.883357903569674
35,Male,77.6,187.8,110.6,88.4,37.8,31.244311433403652
31,Female,98.3,176.0,109.1,133.9,42.6,51.87975632717962
62,Male,64.7,199.9,100.4,87.7,34.8,25.320367838739344
36,Female,83.8,152.2,115.2,124.5,34.7,60.8900514909962
57,Female,91.2,154.4,84.0,139.4,43.6,49.89170515789061
53,Female,105.3,188.4,67.9,85.6,31.8,13.202204148136332
58,Female,65.1,177.5,118.5,92.8,31.6,43.184672014465264
29,Female,118.5,156.2,90.8,107.8,40.5,39.67265735914384
37,Female,117.7,168.8,88.5,124.3,37.0,43.916887566521666
51,Female,50.9,153.2,63.8,133.9,40.8,40.013460363756906
53,Female,75.8,176.3,94.2,123.7,36.5,44.21007114204184
38,Male,54.7,155.2,98.7,126.3,33.2,33.143715561102454
36,Male,72.2,150.3,88.4,107.1,40.7,22.03104989096505
58,Male,92.5,166.1,114.6,101.3,30.6,40.83498489149332
58,Female,92.6,161.7,104.5,110.5,36.7,47.02692638613877
60,Female,56.8,168.1,62.3,119.0,36.9,29.78804913353514
59,Male,97.4,167.5,92.6,110.1,31.2,28.254008083524923
52,Male,109.2,181.5,119.6,127.4,33.6,38.8948269489523
25,Male,94.2,184.0,72.0,89.4,33.9,7.969847281408931
39,Male,71.7,156.4,97.0,103.8,43.4,25.199179637547388
60,Male,50.2,174.4,76.4,84.0,37.7,10.051795798187356
55,Male,95.4,194.5,82.3,120.3,40.1,9.988201375754898
35,Male,97.4,157.4,62.0,125.4,30.8,5.411456078584365
25,Male,99.6,198.3,101.3,120.0,31.6,27.872716121900396
19,Male,52.7,151.0,105.9,137.3,38.5,35.13752832709099
37,Male,86.2,155.0,106.4,135.9,42.5,32.22007409219458
22,Female,78.9,158.9,118.2,96.2,30.8,50.10487579480309
59,Female,103.7,173.5,110.3,94.6,44.8,35.74650810340836
47,Female,100.6,165.0,72.5,81.5,43.3,12.478287076783488
35,Male,116.5,170.9,73.8,110.2,43.1,2.5543710164809
61,Male,112.8,197.0,106.1,131.7,30.1,31.409852381325322
40,Female,89.1,167.1,106.6,89.5,36.1,37.42654345110947
19,Female,118.6,192.4,67.4,115.6,41.9,22.24763589886595
59,Male,60.5,153.6,60.4,123.2,41.4,-10.539384913538925
61,Female,50.5,190.6,84.1,102.1,35.2,27.35317468496595
54,Female,57.5,195.1,101.7,122.2,43.2,39.17334629932947
59,Female,74.9,164.2,112.0,130.2,39.5,56.188600176777925
49,Female,102.9,177.4,69.9,80.6,44.9,6.454502739285942
18,Female,76.8,159.4,108.9,124.1,35.0,55.8167728864168
56,Female,104.6,154.5,101.1,116.0,39.7,48.83128800249591
18,Female,102.0,188.5,70.0,130.7,36.4,33.836897371734096
61,Female,105.6,181.5,112.4,88.3,39.7,34.09602486167739
48,Female,63.1,187.6,116.0,128.4,33.9,52.56700505799131
56,Male,86.1,172.0,75.9,88.5,35.7,11.803240524685862
25,Female,99.9,162.5,68.9,115.1,44.0,29.113582436574063
20,Male,69.9,171.3,118.1,96.3,34.3,39.7342419767042
64,Male,108.7,153.2,61.4,94.4,39.3,-5.529168938904888
29,Male,104.6,164.2,116.9,109.9,43.8,35.661431724129045
51,Female,58.4,164.9,73.0,125.4,37.2,38.58502173127215
42,Female,65.3,185.7,86.3,118.7,40.4,34.64871156293617
53,Female,66.6,152.7,78.5,139.3,41.2,49.051397645569466
24,Female,111.5,162.3,69.2,87.1,38.2,17.46622145552743
32,Female,63.1,163.8,81.1,123.3,35.7,42.25616031233841
38,Female,93.5,177.6,92.4,83.3,42.1,21.968142547575894
42,Female,54.5,162.2,65.6,101.4,38.3,23.333462158168174
55,Female,88.7,156.6,108.6,100.6,31.7,48.223713975355054
54,Female,59.9,162.9,108.0,95.4,43.1,38.73942900832611
33,Male,90.3,171.1,107.8,111.9,34.5,34.455707091036686
18,Female,75.7,176.3,101.2,94.6,37.4,34.245176712106115
64,Female,92.4,151.8,87.3,102.1,33.2,40.11116371935509
54,Female,77.6,165.5,110.0,131.6,37.4,56.37705320989602
62,Male,109.8,188.2,111.1,99.4,31.9,34.46510976900282
31,Female,103.0,179.9,77.1,139.2,38.5,41.76137025827944
51,Female,109.1,172.8,88.9,96.6,37.8,30.154945104225703
19,Male,65.5,172.6,72.2,134.2,42.3,1.3774265889271646
48,Female,60.4,168.4,75.3,105.9,38.4,28.922319346200993
36,Male,89.0,167.1,74.3,134.5,36.1,10.819620589571343
36,Male,111.1,170.0,109.6,105.6,37.0,34.284097507357956
61,Female,57.7,193.5,75.0,126.2,39.1,31.688983644647294
40,Female,66.4,173.4,92.8,104.0,42.6,33.06689726802159
47,Male,102.2,183.5,97.7,117.3,30.6,28.823551734724504
34,Female,82.6,190.4,104.7,83.1,43.9,24.052204630216522
19,Male,92.2,171.6,61.7,115.9,31.3,2.104671453285448
28,Female,91.4,192.0,88.5,99.0,35.2,27.62989169140741
31,Male,78.9,199.6,77.6,139.8,35.0,9.580010764239262
58,Female,99.4,175.2,110.0,128.6,38.0,52.17960240377704
46,Male,109.7,170.1,62.2,84.8,35.3,-1.8024940116769699
36,Male,113.5,190.3,72.4,91.9,33.3,7.921840057524207
45,Male,53.2,182.5,78.9,117.0,33.7,14.287376230489258
18,Female,88.8,180.7,64.7,98.0,44.8,12.84822085421223
22,Male,52.8,194.3,83.7,92.8,42.5,9.16986678604917
51,Female,113.1,182.5,104.6,101.3,42.1,35.08930659346828
31,Female,80.0,182.1,72.7,86.4,36.3,15.218786011268378
36,Male,113.0,160.3,105.3,113.3,44.0,29.557904349445266
41,Male,63.1,184.4,91.7,97.0,30.9,24.920038146595232
57,Female,61.4,195.6,80.7,132.0,31.9,39.095261069683374
34,Male,113.6,178.8,82.1,82.0,33.7,17.37444381022175
19,Male,115.7,195.2,67.0,101.1,39.6,-4.9109047266478
48,Female,103.7,167.0,75.0,113.0,32.5,35.381184928624634
34,Male,65.5,152.1,103.9,94.1,35.0,35.7737905184776
25,Female,62.0,172.3,111.8,83.4,32.7,37.14625999160256
63,Male,102.4,150.2,75.9,84.3,42.0,9.648477699134446
34,Male,94.4,157.7,95.3,89.6,43.6,23.58710223202695
55,Female,111.0,159.5,62.1,96.3,42.8,16.76872955033184
43,Male,69.4,176.7,64.6,122.3,30.4,5.345457276643344
60,Female,70.7,197.5,117.9,108.5,34.8,42.93921505839313
57,Male,101.2,151.0,113.8,82.0,39.6,38.95373310546938
62,Male,68.8,161.8,64.9,89.3,30.0,8.547783849036307
57,Female,82.4,198.5,109.3,102.1,41.2,34.0271102231107
24,Female,86.4,194.1,66.2,105.2,43.0,15.504892039406172
41,Female,96.8,191.7,109.7,83.8,31.2,32.19784385409207
47,Female,74.1,154.6,114.8,87.3,36.5,43.595514228187255
43,Female,110.1,182.2,69.2,95.7,34.5,19.221255320330556
47,Male,78.2,160.2,68.8,130.2,44.2,-3.1700341502638594
52,Female,52.9,182.6,115.6,92.6,34.9,39.17267088660867
19,Female,54.7,171.4,78.1,93.6,38.7,23.1981693137231
61,Female,118.0,181.8,88.4,109.7,30.1,37.10261204445669
21,Female,93.5,171.4,78.3,133.5,42.5,40.39649652016561
22,Female,84.4,195.4,105.0,111.7,30.4,41.354630222530886
19,Female,110.9,151.3,72.7,84.8,38.5,20.975562584655734
48,Female,100.2,159.6,89.6,91.2,41.1,29.764726618813427
44,Male,62.7,191.6,111.0,131.3,35.9,31.82159238211949
41,Female,50.5,186.8,116.6,132.6,30.5,55.76075772961184
62,Male,118.7,159.3,81.2,127.7,43.5,11.729683957806287
21,Male,94.0,156.1,66.8,112.5,35.5,5.756049993714953
45,Male,83.4,165.6,108.6,106.3,37.0,34.57380926532585
22,Male,116.1,174.1,66.6,96.1,42.2,-5.68142124218906
44,Female,75.8,152.3,106.8,112.9,39.9,50.556124700154555
61,Female,100.6,192.3,101.3,121.0,34.9,42.54262811965992
64,Male,96.9,176.0,94.7,116.0,38.1,23.647203786070747
22,Female,97.4,196.0,116.4,93.5,31.4,38.062124143009896
22,Male,97.4,166.3,79.3,134.2,37.2,14.441247214404143
26,Male,50.7,152.4,65.6,103.4,36.4,4.023860790265644
64,Male,107.7,193.6,118.9,133.1,41.4,32.71866893699172
44,Male,114.6,157.5,86.5,103.8,42.0,18.061186013574968
21,Male,81.5,166.8,86.0,82.3,43.1,15.033805958389735
41,Female,89.2,173.2,65.4,124.3,42.9,29.619423007621492
44,Female,72.7,174.6,104.6,135.2,45.0,50.083822154668894
18,Female,105.0,151.2,103.2,95.3,40.6,41.09614656133249
49,Female,101.6,176.3,68.7,112.5,39.3,26.450888656845677
33,Female,101.7,153.9,74.0,128.5,32.2,45.9147844414145
40,Male,101.4,166.3,61.0,99.3,37.0,-4.999462690016912
45,Female,65.3,198.8,113.4,97.2,36.5,35.59365363975604
37,Male,57.9,164.0,74.7,104.7,41.0,6.937006205525336
34,Female,71.8,190.6,115.6,113.0,34.1,45.75168780125085
53,Male,90.3,175.5,94.3,113.2,43.1,19.997076117033373
62,Male,78.0,160.1,85.5,109.2,33.3,23.48905039051448
25,Male,67.4,186.1,60.5,129.2,37.3,-9.105614014581874
35,Male,51.6,177.8,65.5,89.2,44.2,-10.677328309318057
30,Male,58.5,176.7,69.5,85.1,35.2,5.446803505114872
26,Male,57.4,151.5,66.3,90.1,40.9,-0.5738144477887204
54,Female,117.0,166.7,75.4,122.2,35.0,38.71650672708893
