User_ID,Age,Gender,Fitness Level,Goals,Equipment Available,Workout Plan,Calories Burned
76,32,Male,Intermediate,Weight Loss,None,Push-Ups,342
77,44,Male,Intermediate,Weight Loss,Dumbbells,Squats,347
78,37,Male,Intermediate,Muscle Gain,None,Squats,325
79,24,Male,Advanced,General Fitness,Resistance Bands,Plank,188
80,43,Female,Intermediate,Muscle Gain,None,Bicep Curls,146
81,44,Female,Beginner,Weight Loss,Resistance Bands,Plank,145
82,31,Male,Beginner,Muscle Gain,Resistance Bands,Push-Ups,442
83,30,Male,Intermediate,General Fitness,None,Squats,285
84,31,Female,Intermediate,Weight Loss,Resistance Bands,Push-Ups,430
85,37,Female,Advanced,Muscle Gain,None,Deadlifts,151
86,61,Male,Advanced,General Fitness,Resistance Bands,Push-Ups,144
87,49,Female,Intermediate,Weight Loss,None,Plank,226
88,56,Male,Advanced,Weight Loss,None,Plank,343
89,19,Male,Advanced,Weight Loss,Dumbbells,Bicep Curls,223
90,33,Female,Advanced,Muscle Gain,Resistance Bands,Squats,323
91,35,Female,Beginner,Weight Loss,Dumbbells,Plank,267
92,50,Male,Beginner,Muscle Gain,None,Plank,239
93,50,Male,Intermediate,Weight Loss,Dumbbells,Push-Ups,180
94,64,Male,Intermediate,Weight Loss,None,Deadlifts,152
95,46,Female,Intermediate,General Fitness,Dumbbells,Squats,414
96,42,Male,Beginner,General Fitness,Resistance Bands,Bicep Curls,342
97,49,Male,Intermediate,General Fitness,Dumbbells,Bicep Curls,254
98,27,Male,Advanced,General Fitness,Resistance Bands,Deadlifts,273
99,30,Male,Beginner,Muscle Gain,Dumbbells,Deadlifts,129
100,20,Female,Beginner,General Fitness,Resistance Bands,Bicep Curls,300
101,40,Male,Beginner,General Fitness,None,Deadlifts,293
102,43,Female,Advanced,General Fitness,None,Plank,380
103,22,Female,Beginner,General Fitness,Dumbbells,Plank,221
104,34,Female,Advanced,General Fitness,Resistance Bands,Push-Ups,436
105,46,Male,Advanced,General Fitness,Resistance Bands,Push-Ups,290
106,49,Male,Advanced,Weight Loss,Barbell,Push-Ups,319
107,57,Male,Intermediate,Weight Loss,None,Deadlifts,327
108,51,Male,Advanced,General Fitness,None,Bicep Curls,150
109,56,Female,Advanced,Weight Loss,None,Squats,457
110,48,Female,Beginner,Muscle Gain,None,Plank,386
111,29,Male,Intermediate,Weight Loss,None,Bicep Curls,239
112,55,Male,Intermediate,Weight Loss,Resistance Bands,Bicep Curls,367
113,38,Female,Intermediate,Muscle Gain,Dumbbells,Bicep Curls,375
114,39,Male,Intermediate,Muscle Gain,Dumbbells,Bicep Curls,404
115,47,Female,Advanced,Weight Loss,Barbell,Deadlifts,176
116,37,Male,Beginner,Weight Loss,Resistance Bands,Plank,209
117,39,Male,Advanced,Muscle Gain,Dumbbells,Bicep Curls,472
118,19,Female,Intermediate,Weight Loss,Resistance Bands,Squats,196
119,24,Male,Intermediate,General Fitness,None,Bicep Curls,446
120,55,Female,Beginner,Muscle Gain,None,Deadlifts,173
121,50,Female,Beginner,General Fitness,None,Deadlifts,224
122,45,Female,Advanced,General Fitness,Barbell,Squats,479
123,45,Male,Advanced,Weight Loss,Dumbbells,Squats,203
124,23,Female,Advanced,General Fitness,Resistance Bands,Push-Ups,469
125,48,Female,Intermediate,Muscle Gain,None,Push-Ups,137
126,53,Female,Advanced,Muscle Gain,None,Push-Ups,231
127,27,Male,Intermediate,Muscle Gain,Dumbbells,Plank,366
128,36,Male,Beginner,Weight Loss,Resistance Bands,Push-Ups,159
129,23,Male,Advanced,Muscle Gain,Dumbbells,Bicep Curls,423
130,51,Male,Advanced,Weight Loss,Resistance Bands,Push-Ups,322
131,25,Male,Intermediate,Weight Loss,None,Deadlifts,194
132,23,Male,Advanced,Weight Loss,Barbell,Squats,159
133,58,Female,Intermediate,Weight Loss,Resistance Bands,Deadlifts,300
134,64,Female,Intermediate,Weight Loss,None,Squats,416
135,42,Male,Beginner,Muscle Gain,Barbell,Deadlifts,424
136,32,Male,Advanced,Muscle Gain,None,Bicep Curls,142
137,39,Female,Intermediate,General Fitness,Dumbbells,Deadlifts,443
138,21,Male,Advanced,General Fitness,Barbell,Squats,225
139,26,Female,Beginner,General Fitness,Dumbbells,Plank,422
140,39,Male,Advanced,Muscle Gain,Dumbbells,Squats,391
141,35,Female,Intermediate,Muscle Gain,Barbell,Squats,327
142,62,Male,Advanced,General Fitness,Resistance Bands,Squats,494
143,60,Female,Intermediate,General Fitness,Resistance Bands,Squats,488
144,41,Male,Intermediate,General Fitness,Dumbbells,Deadlifts,293
145,52,Female,Beginner,Weight Loss,Dumbbells,Push-Ups,329
146,20,Male,Advanced,General Fitness,None,Plank,153
147,35,Male,Advanced,Weight Loss,Resistance Bands,Push-Ups,368
148,42,Female,Intermediate,Weight Loss,Resistance Bands,Deadlifts,495
149,37,Male,Beginner,Weight Loss,Barbell,Plank,115
150,56,Female,Intermediate,Muscle Gain,Dumbbells,Squats,393
151,42,Female,Beginner,Muscle Gain,Resistance Bands,Deadlifts,307
152,30,Female,Advanced,Weight Loss,Barbell,Push-Ups,174
153,31,Female,Intermediate,General Fitness,None,Push-Ups,300
154,47,Female,Intermediate,Weight Loss,Resistance Bands,Plank,251
155,61,Male,Intermediate,General Fitness,Dumbbells,Squats,198
156,57,Female,Advanced,Muscle Gain,None,Plank,379
157,45,Male,Advanced,General Fitness,Barbell,Plank,471
158,47,Male,Beginner,Muscle Gain,Barbell,Push-Ups,393
159,50,Female,Beginner,General Fitness,Resistance Bands,Squats,449
160,63,Male,Advanced,Weight Loss,Dumbbells,Bicep Curls,262
161,35,Female,Intermediate,General Fitness,Resistance Bands,Squats,120
162,45,Male,Advanced,General Fitness,Resistance Bands,Squats,473
163,54,Male,Beginner,Muscle Gain,None,Push-Ups,343
164,26,Male,Advanced,General Fitness,Resistance Bands,Squats,244
165,31,Male,Beginner,General Fitness,Barbell,Push-Ups,187
166,22,Male,Advanced,General Fitness,Resistance Bands,Plank,382
167,52,Male,Beginner,General Fitness,Resistance Bands,Deadlifts,449
168,24,Female,Advanced,General Fitness,Resistance Bands,Squats,220
169,63,Female,Advanced,Muscle Gain,Barbell,Bicep Curls,432
170,61,Male,Advanced,General Fitness,None,Push-Ups,422
171,18,Male,Advanced,Muscle Gain,Resistance Bands,Push-Ups,383
172,62,Male,Intermediate,General Fitness,Resistance Bands,Bicep Curls,152
173,52,Male,Advanced,Muscle Gain,Barbell,Plank,373
174,55,Male,Advanced,Muscle Gain,Barbell,Deadlifts,133
175,19,Male,Intermediate,Weight Loss,Resistance Bands,Deadlifts,237
176,21,Male,Beginner,General Fitness,None,Squats,137
177,27,Female,Advanced,General Fitness,None,Plank,112
178,52,Male,Advanced,Weight Loss,Resistance Bands,Plank,227
179,61,Female,Advanced,General Fitness,None,Push-Ups,266
180,51,Female,Beginner,Weight Loss,Barbell,Squats,340
181,56,Female,Beginner,General Fitness,Dumbbells,Bicep Curls,462
182,60,Male,Beginner,Weight Loss,Dumbbells,Plank,314
183,49,Male,Beginner,Weight Loss,Resistance Bands,Deadlifts,258
184,38,Female,Advanced,Weight Loss,Resistance Bands,Plank,331
185,38,Female,Beginner,Weight Loss,Barbell,Push-Ups,237
186,40,Female,Beginner,Weight Loss,Barbell,Plank,159
187,53,Male,Beginner,Muscle Gain,None,Bicep Curls,357
188,32,Female,Advanced,Weight Loss,Barbell,Deadlifts,229
189,18,Female,Intermediate,General Fitness,Resistance Bands,Squats,342
190,46,Female,Advanced,General Fitness,Barbell,Squats,380
191,47,Male,Intermediate,General Fitness,Dumbbells,Plank,193
192,36,Female,Intermediate,Muscle Gain,Dumbbells,Push-Ups,243
193,50,Male,Intermediate,Muscle Gain,Barbell,Squats,226
194,41,Male,Intermediate,General Fitness,Dumbbells,Deadlifts,183
195,23,Male,Beginner,General Fitness,Barbell,Push-Ups,308
196,27,Male,Beginner,General Fitness,None,Push-Ups,489
197,63,Female,Intermediate,General Fitness,Barbell,Plank,219
198,64,Female,Beginner,Weight Loss,Dumbbells,Push-Ups,127
199,35,Female,Advanced,Weight Loss,Resistance Bands,Bicep Curls,169
200,24,Male,Advanced,Weight Loss,Resistance Bands,Bicep Curls,100
201,27,Female,Beginner,Muscle Gain,Barbell,Push-Ups,144
202,45,Female,Advanced,Muscle Gain,Dumbbells,Plank,461
203,56,Female,Intermediate,Weight Loss,Barbell,Deadlifts,369
204,51,Female,Intermediate,Muscle Gain,Barbell,Bicep Curls,126
205,59,Female,Beginner,Muscle Gain,Dumbbells,Squats,304
206,51,Male,Intermediate,Weight Loss,Barbell,Deadlifts,177
207,44,Male,Intermediate,Weight Loss,Resistance Bands,Push-Ups,227
208,59,Female,Beginner,Weight Loss,Resistance Bands,Push-Ups,315
209,20,Male,Beginner,Weight Loss,Barbell,Bicep Curls,364
210,24,Female,Intermediate,Weight Loss,Barbell,Plank,121
211,32,Female,Advanced,General Fitness,None,Plank,488
212,56,Female,Beginner,Weight Loss,Resistance Bands,Deadlifts,262
213,52,Female,Beginner,Weight Loss,Dumbbells,Bicep Curls,328
214,18,Male,Beginner,Weight Loss,Resistance Bands,Squats,281
215,31,Female,Beginner,Weight Loss,Barbell,Push-Ups,449
216,58,Female,Advanced,Weight Loss,None,Bicep Curls,236
217,43,Male,Advanced,Weight Loss,Dumbbells,Squats,212
218,39,Male,Beginner,Weight Loss,None,Push-Ups,274
219,37,Female,Beginner,General Fitness,None,Plank,189
220,53,Female,Intermediate,Weight Loss,Resistance Bands,Deadlifts,184
221,53,Male,Beginner,Weight Loss,Barbell,Squats,180
222,52,Male,Beginner,Weight Loss,None,Bicep Curls,261
223,63,Female,Intermediate,General Fitness,Barbell,Plank,310
224,33,Male,Advanced,Muscle Gain,Resistance Bands,Bicep Curls,464
225,23,Male,Intermediate,Weight Loss,Dumbbells,Deadlifts,325
226,39,Male,Beginner,General Fitness,Resistance Bands,Deadlifts,300
227,24,Male,Advanced,General Fitness,None,Squats,366
228,48,Female,Beginner,General Fitness,None,Deadlifts,177
229,34,Male,Advanced,Muscle Gain,Resistance Bands,Deadlifts,348
230,33,Male,Intermediate,General Fitness,None,Bicep Curls,447
231,59,Female,Intermediate,General Fitness,None,Squats,205
232,57,Female,Beginner,General Fitness,Barbell,Deadlifts,392
233,31,Male,Beginner,Weight Loss,Barbell,Push-Ups,287
234,26,Female,Intermediate,Weight Loss,Resistance Bands,Plank,158
235,33,Female,Beginner,General Fitness,Dumbbells,Deadlifts,438
236,25,Female,Advanced,Weight Loss,Dumbbells,Deadlifts,225
237,59,Female,Intermediate,Weight Loss,Dumbbells,Deadlifts,395
238,44,Female,Intermediate,Weight Loss,Barbell,Plank,271
239,31,Female,Intermediate,Muscle Gain,Resistance Bands,Bicep Curls,289
240,19,Female,Intermediate,General Fitness,None,Squats,212
241,57,Female,Advanced,Muscle Gain,Resistance Bands,Squats,173
242,41,Male,Intermediate,General Fitness,Resistance Bands,Squats,263
243,25,Male,Beginner,Weight Loss,Barbell,Squats,288
244,24,Male,Advanced,General Fitness,Barbell,Squats,179
245,32,Male,Advanced,Weight Loss,Dumbbells,Push-Ups,370
246,40,Male,Advanced,General Fitness,Dumbbells,Bicep Curls,181
247,46,Female,Beginner,General Fitness,Dumbbells,Bicep Curls,105
248,44,Male,Beginner,General Fitness,Resistance Bands,Deadlifts,141
249,63,Male,Beginner,General Fitness,Barbell,Plank,464
250,28,Male,Intermediate,Weight Loss,Resistance Bands,Squats,211
251,26,Female,Advanced,Muscle Gain,None,Squats,462
252,51,Male,Beginner,Muscle Gain,Dumbbells,Bicep Curls,186
253,50,Female,Advanced,General Fitness,Barbell,Bicep Curls,192
254,59,Male,Intermediate,Weight Loss,None,Plank,466
255,46,Female,Advanced,Muscle Gain,Dumbbells,Plank,338
256,31,Female,Advanced,General Fitness,Dumbbells,Plank,130
257,48,Male,Intermediate,Muscle Gain,Dumbbells,Squats,446
258,55,Female,Advanced,Weight Loss,Resistance Bands,Bicep Curls,390
259,56,Male,Beginner,Weight Loss,Barbell,Push-Ups,126
260,62,Male,Beginner,Muscle Gain,None,Plank,380
261,44,Female,Beginner,Muscle Gain,Barbell,Plank,424
262,35,Female,Advanced,General Fitness,Dumbbells,Bicep Curls,440
263,28,Female,Intermediate,General Fitness,Resistance Bands,Push-Ups,430
264,52,Male,Intermediate,Weight Loss,Barbell,Squats,219
265,35,Male,Beginner,Muscle Gain,Barbell,Squats,332
266,24,Female,Intermediate,Weight Loss,None,Push-Ups,489
267,36,Male,Beginner,Weight Loss,Resistance Bands,Squats,204
268,59,Male,Advanced,General Fitness,Barbell,Squats,146
269,45,Female,Advanced,Muscle Gain,Dumbbells,Plank,411
270,24,Female,Advanced,General Fitness,Resistance Bands,Deadlifts,265
271,19,Female,Advanced,General Fitness,Barbell,Bicep Curls,383
272,63,Male,Intermediate,General Fitness,None,Plank,426
273,49,Female,Advanced,General Fitness,None,Bicep Curls,228
274,39,Female,Beginner,Muscle Gain,None,Deadlifts,216
275,47,Male,Beginner,Weight Loss,Resistance Bands,Bicep Curls,275
276,31,Male,Intermediate,Muscle Gain,Barbell,Push-Ups,304
277,20,Male,Beginner,Muscle Gain,Resistance Bands,Plank,460
278,26,Male,Beginner,Weight Loss,Dumbbells,Plank,440
279,32,Female,Intermediate,Muscle Gain,Barbell,Deadlifts,228
280,23,Male,Intermediate,Muscle Gain,Resistance Bands,Push-Ups,436
281,61,Male,Intermediate,General Fitness,Resistance Bands,Squats,183
282,42,Male,Intermediate,Weight Loss,None,Deadlifts,321
283,63,Male,Intermediate,Weight Loss,Barbell,Bicep Curls,254
284,57,Female,Beginner,Weight Loss,Resistance Bands,Deadlifts,399
285,59,Female,Intermediate,Weight Loss,Dumbbells,Push-Ups,103
286,21,Male,Advanced,General Fitness,None,Plank,228
287,38,Male,Intermediate,Muscle Gain,Barbell,Bicep Curls,366
288,20,Male,Intermediate,Weight Loss,None,Squats,491
289,20,Male,Advanced,Muscle Gain,Dumbbells,Squats,326
290,56,Female,Advanced,Muscle Gain,Barbell,Squats,291
291,47,Male,Advanced,Muscle Gain,Dumbbells,Push-Ups,413
292,20,Female,Advanced,Muscle Gain,Resistance Bands,Plank,159
293,43,Male,Intermediate,General Fitness,Resistance Bands,Plank,129
294,27,Male,Advanced,Weight Loss,Barbell,Deadlifts,151
295,22,Male,Beginner,Weight Loss,Resistance Bands,Push-Ups,395
296,31,Male,Beginner,Muscle Gain,Resistance Bands,Push-Ups,351
297,27,Male,Intermediate,General Fitness,None,Bicep Curls,315
298,26,Male,Advanced,Muscle Gain,None,Squats,486
299,55,Male,Advanced,Weight Loss,Barbell,Squats,163
300,20,Female,Beginner,Weight Loss,Dumbbells,Deadlifts,204
301,28,Female,Advanced,General Fitness,Barbell,Squats,423
302,20,Male,Advanced,Weight Loss,Dumbbells,Squats,427
303,55,Male,Beginner,Weight Loss,None,Squats,263
304,55,Male,Advanced,Muscle Gain,Resistance Bands,Plank,101
305,56,Female,Beginner,Weight Loss,Barbell,Deadlifts,230
306,58,Male,Intermediate,Weight Loss,Barbell,Squats,483
307,60,Female,Advanced,Weight Loss,None,Push-Ups,450
308,62,Female,Intermediate,General Fitness,Dumbbells,Push-Ups,286
309,31,Female,Beginner,Muscle Gain,Barbell,Push-Ups,109
310,20,Female,Intermediate,Weight Loss,Dumbbells,Bicep Curls,474
311,23,Male,Beginner,Weight Loss,None,Push-Ups,357
312,63,Female,Intermediate,General Fitness,Barbell,Squats,369
313,59,Male,Intermediate,General Fitness,Resistance Bands,Push-Ups,101
314,31,Female,Advanced,General Fitness,Barbell,Push-Ups,417
315,33,Female,Beginner,General Fitness,Dumbbells,Deadlifts,158
316,42,Male,Advanced,General Fitness,Barbell,Bicep Curls,117
317,61,Male,Beginner,General Fitness,Barbell,Squats,446
318,44,Female,Intermediate,Weight Loss,Barbell,Plank,492
319,39,Female,Intermediate,Muscle Gain,None,Squats,159
320,28,Male,Beginner,Muscle Gain,None,Deadlifts,152
321,54,Female,Beginner,General Fitness,Dumbbells,Squats,451
322,60,Male,Beginner,Muscle Gain,None,Squats,238
323,36,Female,Beginner,General Fitness,Barbell,Plank,196
324,36,Male,Advanced,Muscle Gain,Resistance Bands,Deadlifts,196
325,33,Male,Beginner,Muscle Gain,Barbell,Deadlifts,495
326,47,Female,Beginner,Weight Loss,Dumbbells,Squats,227
327,25,Male,Beginner,Weight Loss,Dumbbells,Squats,312
328,47,Female,Intermediate,Weight Loss,None,Bicep Curls,339
329,25,Female,Advanced,General Fitness,Dumbbells,Plank,105
330,54,Female,Intermediate,Weight Loss,Barbell,Push-Ups,329
331,46,Female,Beginner,Muscle Gain,Dumbbells,Push-Ups,362
332,31,Female,Advanced,Weight Loss,None,Bicep Curls,221
333,53,Male,Intermediate,Weight Loss,None,Push-Ups,373
334,53,Female,Advanced,General Fitness,Barbell,Deadlifts,185
335,56,Female,Intermediate,Weight Loss,Dumbbells,Squats,323
336,29,Female,Beginner,General Fitness,Resistance Bands,Push-Ups,162
337,30,Female,Beginner,Muscle Gain,Dumbbells,Squats,392
338,29,Male,Beginner,Weight Loss,None,Plank,406
339,31,Male,Advanced,Muscle Gain,Resistance Bands,Bicep Curls,119
340,27,Male,Beginner,Weight Loss,Dumbbells,Squats,304
341,61,Female,Beginner,Weight Loss,Resistance Bands,Deadlifts,288
342,25,Male,Intermediate,Weight Loss,Dumbbells,Deadlifts,256
343,41,Male,Beginner,General Fitness,Dumbbells,Plank,398
344,54,Male,Advanced,Muscle Gain,Barbell,Squats,207
345,60,Male,Advanced,General Fitness,Dumbbells,Bicep Curls,483
346,42,Male,Intermediate,General Fitness,None,Bicep Curls,376
347,25,Female,Beginner,Weight Loss,Dumbbells,Bicep Curls,165
348,30,Female,Intermediate,Muscle Gain,Resistance Bands,Deadlifts,207
349,20,Female,Beginner,Muscle Gain,Resistance Bands,Deadlifts,374
350,26,Female,Intermediate,Muscle Gain,Barbell,Plank,261
351,57,Male,Intermediate,General Fitness,None,Deadlifts,235
352,27,Female,Beginner,Weight Loss,None,Push-Ups,304
353,64,Female,Intermediate,Weight Loss,Barbell,Push-Ups,245
354,63,Female,Beginner,Weight Loss,Barbell,Bicep Curls,359
355,36,Female,Intermediate,Muscle Gain,Dumbbells,Plank,347
356,45,Female,Intermediate,Weight Loss,Barbell,Bicep Curls,466
357,35,Female,Advanced,Weight Loss,Barbell,Bicep Curls,305
358,35,Male,Advanced,Weight Loss,Dumbbells,Deadlifts,338
359,25,Female,Advanced,Weight Loss,None,Push-Ups,147
360,58,Male,Intermediate,Muscle Gain,Dumbbells,Plank,363
361,57,Male,Beginner,Muscle Gain,Barbell,Push-Ups,118
362,25,Male,Intermediate,Muscle Gain,Barbell,Deadlifts,217
363,53,Female,Advanced,Weight Loss,None,Deadlifts,251
364,49,Female,Intermediate,Weight Loss,None,Squats,482
365,38,Female,Beginner,General Fitness,Dumbbells,Deadlifts,404
366,62,Male,Intermediate,General Fitness,None,Deadlifts,219
367,20,Male,Intermediate,Muscle Gain,None,Push-Ups,499
368,41,Male,Intermediate,General Fitness,Barbell,Plank,328
369,33,Female,Beginner,General Fitness,None,Push-Ups,153
370,36,Female,Beginner,General Fitness,Dumbbells,Push-Ups,420
371,39,Female,Advanced,Weight Loss,Resistance Bands,Squats,144
372,39,Male,Beginner,Muscle Gain,Dumbbells,Push-Ups,370
373,30,Male,Intermediate,Weight Loss,Barbell,Plank,108
374,29,Male,Beginner,Muscle Gain,Barbell,Plank,269
375,45,Male,Advanced,Muscle Gain,Barbell,Squats,181
376,25,Female,Beginner,Muscle Gain,Barbell,Push-Ups,359
377,26,Female,Advanced,Weight Loss,Barbell,Deadlifts,281
378,37,Female,Beginner,Weight Loss,None,Deadlifts,285
379,32,Male,Intermediate,Weight Loss,Resistance Bands,Deadlifts,345
380,21,Female,Intermediate,General Fitness,Dumbbells,Plank,348
381,41,Female,Intermediate,Weight Loss,Dumbbells,Deadlifts,227
382,62,Female,Beginner,General Fitness,None,Plank,296
383,23,Female,Intermediate,General Fitness,Dumbbells,Bicep Curls,490
384,40,Male,Intermediate,Muscle Gain,None,Squats,149
385,57,Female,Beginner,General Fitness,Barbell,Bicep Curls,293
386,32,Male,Advanced,General Fitness,None,Push-Ups,484
387,47,Female,Advanced,General Fitness,Resistance Bands,Deadlifts,245
388,37,Male,Intermediate,General Fitness,Dumbbells,Plank,234
389,44,Male,Intermediate,Muscle Gain,None,Plank,233
390,44,Female,Advanced,General Fitness,None,Plank,261
391,51,Female,Intermediate,General Fitness,Barbell,Squats,142
392,50,Female,Advanced,Weight Loss,Dumbbells,Push-Ups,332
393,27,Female,Intermediate,Muscle Gain,Barbell,Squats,469
394,26,Male,Intermediate,General Fitness,Barbell,Deadlifts,186
395,25,Female,Intermediate,Weight Loss,Resistance Bands,Bicep Curls,228
396,31,Female,Beginner,Muscle Gain,Dumbbells,Squats,142
397,18,Female,Advanced,Weight Loss,Resistance Bands,Squats,286
398,27,Female,Beginner,General Fitness,Dumbbells,Deadlifts,416
399,21,Female,Intermediate,Weight Loss,Resistance Bands,Bicep Curls,409
400,35,Female,Advanced,Muscle Gain,Resistance Bands,Bicep Curls,285
401,47,Female,Beginner,General Fitness,Dumbbells,Squats,162
402,58,Male,Advanced,Muscle Gain,Barbell,Plank,321
403,43,Male,Intermediate,General Fitness,Dumbbells,Plank,105
404,60,Female,Intermediate,General Fitness,Dumbbells,Deadlifts,281
405,31,Male,Intermediate,General Fitness,Dumbbells,Push-Ups,194
406,46,Male,Beginner,Muscle Gain,Barbell,Deadlifts,479
407,26,Male,Intermediate,Weight Loss,Dumbbells,Deadlifts,286
408,54,Female,Intermediate,Muscle Gain,Barbell,Plank,369
409,39,Female,Advanced,Weight Loss,Dumbbells,Bicep Curls,115
410,41,Female,Intermediate,General Fitness,Resistance Bands,Deadlifts,220
411,52,Male,Beginner,General Fitness,Dumbbells,Push-Ups,159
412,53,Female,Advanced,General Fitness,Dumbbells,Push-Ups,458
413,48,Female,Intermediate,Weight Loss,Dumbbells,Bicep Curls,205
414,32,Male,Beginner,Weight Loss,Barbell,Bicep Curls,331
415,24,Female,Advanced,Muscle Gain,Resistance Bands,Plank,438
416,52,Female,Intermediate,Muscle Gain,Barbell,Squats,160
417,44,Female,Beginner,General Fitness,None,Squats,312
418,61,Male,Advanced,Weight Loss,Resistance Bands,Plank,196
419,59,Male,Intermediate,Weight Loss,Dumbbells,Bicep Curls,449
420,51,Male,Beginner,Muscle Gain,Dumbbells,Push-Ups,113
421,42,Male,Intermediate,Weight Loss,None,Plank,282
422,61,Female,Advanced,Weight Loss,Dumbbells,Deadlifts,117
423,23,Female,Intermediate,General Fitness,Resistance Bands,Squats,103
424,21,Male,Beginner,Muscle Gain,Resistance Bands,Bicep Curls,176
