Height (cm),Weight (kg),BMI,Category
182.5,90.5,27.172077312816665,Overweight
163.2,104.5,39.235210015378705,Obese
156.9,79.7,32.37519807974861,Obese
198.9,51.2,12.941970177353017,Underweight
165.2,80.8,29.606786696293,Overweight
173.3,98.4,32.76407964734662,Obese
150.9,117.0,51.38157140655075,Obese
190.6,108.8,29.949053576874928,Obese
189.7,51.6,14.338873714815922,Underweight
184.7,67.1,19.66929207257177,Normal
167.8,88.5,31.431083885833775,Obese
168.7,53.9,18.939067853514924,Normal
174.8,91.7,30.011415465337297,Obese
170.1,80.0,27.649122952539248,Overweight
158.4,96.8,38.58024691358024,Obese
161.6,65.4,25.043500637192437,Overweight
166.5,63.1,22.761500238977714,Normal
151.0,114.1,50.041664839261436,Obese
167.1,74.0,26.502010392369424,Overweight
191.1,118.0,32.31176139900069,Obese
173.5,61.2,20.330706176448604,Normal
159.3,102.7,40.470530006316864,Obese
184.7,64.1,18.789890042501497,Normal
151.1,100.1,43.84349318323471,Obese
157.7,68.4,27.503800872481687,Overweight
179.1,73.2,22.82022433028721,Normal
183.6,94.9,28.152752265273094,Overweight
164.7,52.3,19.280331223556367,Normal
163.9,67.3,25.05285109262817,Overweight
151.0,110.0,48.243498092188936,Obese
164.2,71.8,26.630427525922016,Overweight
198.0,116.9,29.818385878991943,Overweight
169.9,60.0,20.78569223803359,Normal
166.4,100.5,36.296054456360935,Obese
181.3,61.4,18.679823265750297,Normal
199.5,103.5,26.004861778506413,Overweight
171.9,64.9,21.963064825559456,Normal
154.7,110.6,46.214099980402885,Obese
185.9,93.7,27.11320210389189,Overweight
194.9,111.7,29.405562732174293,Overweight
184.0,94.0,27.764650283553873,Overweight
174.9,106.5,34.815287736094234,Obese
162.3,110.9,42.10120309217961,Obese
172.3,82.8,27.890723605960662,Overweight
171.1,97.1,33.167994354267655,Obese
198.1,51.9,13.225083013514814,Underweight
151.8,84.7,36.75698382692711,Obese
168.2,64.9,22.9399630415634,Normal
165.6,58.0,21.14985180517632,Normal
199.1,119.8,30.221380441015206,Obese
150.3,119.8,53.032103900427124,Obese
164.6,64.9,23.95438553494683,Normal
198.7,112.8,28.570205581372026,Overweight
158.0,112.8,45.18506649575388,Obese
189.5,118.4,32.971087642107754,Obese
178.2,77.5,24.405420963595304,Normal
195.3,115.2,30.202854641683242,Obese
193.7,104.7,27.905347832031666,Overweight
178.8,101.4,31.71779048991787,Obese
177.7,67.3,21.312785232678294,Normal
157.6,84.3,33.940258702878204,Obese
153.0,105.2,44.93998034943825,Obese
186.6,109.3,31.390402406003986,Obese
180.6,63.8,19.560735777996072,Normal
189.8,71.8,19.9311348754887,Normal
150.9,61.4,26.96434602018988,Overweight
196.7,60.6,15.662601713219834,Underweight
153.7,64.9,27.472422809476424,Overweight
195.2,113.7,29.840138739586134,Overweight
159.6,75.4,29.60094471768394,Overweight
163.0,84.8,31.916895630245776,Obese
193.6,50.8,13.55354825490062,Underweight
172.6,102.7,34.47377643269255,Obese
184.7,70.2,20.57800750364439,Normal
195.0,99.3,26.11439842209073,Overweight
164.6,63.9,23.585288685409896,Normal
156.8,76.4,31.07429196168263,Obese
177.0,86.2,27.514443486865204,Overweight
169.4,94.2,32.82646300785187,Obese
189.9,61.5,17.053957890866315,Underweight
150.3,80.3,35.546560460803825,Obese
179.0,50.8,15.85468618332761,Underweight
175.8,59.3,19.187436338480612,Normal
192.5,73.0,19.699780738741776,Normal
178.8,115.6,36.15953235339749,Obese
199.8,111.8,28.00598396193991,Overweight
151.3,86.7,37.87400580734756,Obese
175.2,92.3,30.07000479556307,Obese
198.8,70.2,17.76251067774858,Underweight
197.3,96.9,24.892562518479963,Normal
160.9,66.6,25.72540027911673,Overweight
191.4,50.2,13.703132284907227,Underweight
190.3,117.4,32.418321156212954,Obese
198.1,76.7,19.54458318182247,Normal
175.5,86.6,28.11665489728168,Overweight
176.5,57.0,18.297233747161123,Underweight
189.3,86.9,24.250380010989414,Normal
199.9,113.2,28.328321239158846,Overweight
165.5,111.4,40.67140679621398,Obese
184.2,90.5,26.672844156318785,Overweight
183.6,110.0,32.6322734370921,Obese
192.9,75.5,20.29002099143761,Normal
182.5,63.5,19.06549071120285,Normal
172.9,79.5,26.593600609612295,Overweight
165.5,106.7,38.955467730305486,Obese
198.5,99.5,25.2523650299158,Overweight
166.8,76.9,27.639758696639806,Overweight
162.8,73.9,27.882752084226286,Overweight
189.6,117.5,32.685956666488636,Obese
174.9,68.4,22.360241137547845,Normal
159.2,71.6,28.25054922855484,Overweight
168.0,74.3,26.32511337868481,Overweight
160.2,104.8,40.835347825206014,Obese
160.5,109.5,42.507351442629634,Obese
153.8,65.2,27.563535640666192,Overweight
182.3,78.5,23.62089338732337,Normal
168.6,110.6,38.90809668345414,Obese
153.0,71.9,30.71468238711607,Obese
182.5,78.3,23.509101144680052,Normal
164.8,88.8,32.6962955980771,Obese
158.1,94.9,37.96666694671585,Obese
198.0,71.3,18.18691970207122,Underweight
153.7,90.3,38.22434175186011,Obese
169.3,100.7,35.13302577689517,Obese
180.8,56.3,17.22310870075965,Underweight
199.7,120.0,30.090202905760748,Obese
154.1,115.3,48.55388997511666,Obese
196.6,60.7,15.704411413148655,Underweight
194.0,73.2,19.449463279838454,Normal
189.0,69.7,19.512331681643854,Normal
155.1,51.5,21.4083715462373,Normal
164.5,85.1,31.4483421254423,Obese
163.6,61.1,22.828354684632448,Normal
176.7,59.6,19.088559707317295,Normal
156.0,64.8,26.62721893491124,Overweight
190.8,103.2,28.34803475600912,Overweight
184.1,59.0,17.407821894968283,Underweight
193.1,94.0,25.20944624769461,Overweight
161.1,70.4,27.12573897409993,Overweight
181.0,54.8,16.727206129239033,Underweight
192.5,118.5,31.97841119919042,Obese
152.5,95.3,40.97823165815642,Obese
177.5,64.3,20.408649077563975,Normal
186.4,85.4,24.57910442262705,Normal
168.6,77.2,27.158273634382095,Overweight
167.7,62.3,22.152457980556335,Normal
151.6,117.3,51.038700649536,Obese
174.5,110.2,36.19017906256927,Obese
179.8,75.8,23.447137531381422,Normal
187.0,106.8,30.541336612428147,Obese
154.3,63.3,26.58715441424466,Overweight
170.8,55.3,18.9561177870772,Normal
162.9,86.9,32.74745905719727,Obese
160.3,77.5,30.16023060317736,Obese
162.3,54.9,20.84180387520884,Normal
168.0,94.1,33.34041950113379,Obese
186.6,107.4,30.844732098854788,Obese
171.8,86.9,29.442416866676332,Overweight
153.2,53.8,22.922645869833463,Normal
167.4,76.4,27.263552911990107,Overweight
155.5,67.6,27.956700199543018,Overweight
160.6,60.4,23.41778728274575,Normal
156.5,84.9,34.66402637569028,Obese
198.6,54.6,13.843125443056076,Underweight
194.0,54.4,14.454245934743332,Underweight
181.2,104.4,31.796851015306352,Obese
162.5,79.9,30.257988165680477,Obese
158.7,102.1,40.53889331600603,Obese
192.1,72.9,19.754807341851116,Normal
153.6,74.5,31.57721625434028,Obese
184.7,80.0,23.45072080187395,Normal
164.7,71.3,26.284658054293864,Overweight
174.5,89.1,29.260843507031957,Overweight
186.4,55.1,15.858415148556798,Underweight
151.8,89.0,38.623040857101685,Obese
158.8,100.0,39.655095838435614,Obese
182.4,119.5,35.918503770390885,Obese
196.0,94.6,24.62515618492295,Normal
162.9,99.6,37.533336272690995,Obese
157.5,91.7,36.96649029982363,Obese
196.2,116.6,30.290088646568176,Obese
193.3,106.7,28.55621948840208,Overweight
195.5,93.1,24.358815026066022,Normal
156.2,73.3,30.04290438241134,Obese
196.2,72.7,18.88584429335769,Normal
179.1,102.7,32.01689943607236,Obese
183.3,115.0,34.2273212001944,Obese
172.7,119.0,39.89902529028218,Obese
167.8,68.4,24.292498732102036,Normal
155.6,91.4,37.75087396990504,Obese
161.2,99.1,38.136741190451275,Obese
179.4,78.9,24.515012882033385,Normal
165.8,57.6,20.953348243192707,Normal
156.0,70.0,28.763971071663377,Overweight
185.5,86.1,25.02161419925749,Overweight
176.4,58.1,18.671489759925134,Normal
152.1,71.9,31.079245159050963,Obese
183.6,68.0,20.172678124747843,Normal
193.1,74.8,20.060282758803794,Normal
188.8,98.1,27.52105178109738,Overweight
196.2,83.3,21.639488715772977,Normal
166.9,76.3,27.391250810877953,Overweight
154.4,69.2,29.02762490268195,Overweight
185.7,98.2,28.47657019141069,Overweight
195.1,97.2,25.535932761682236,Overweight
165.9,81.3,29.539134993846922,Overweight
163.3,69.5,26.062281728390527,Overweight
185.7,106.6,30.912447885991643,Obese
186.4,109.6,31.54414338079537,Obese
191.5,109.2,29.777283913585887,Overweight
187.3,77.5,22.09154794478766,Normal
170.0,67.8,23.46020761245675,Normal
171.2,109.2,37.25762075290419,Obese
190.2,118.6,32.784130048507244,Obese
163.4,63.6,23.82061726859918,Normal
155.4,94.6,39.173205196371214,Obese
160.9,73.1,28.236137543595092,Overweight
175.3,84.0,27.334771879939172,Overweight
178.5,90.1,28.27797785780979,Overweight
153.5,87.7,37.22055406423411,Obese
165.2,103.3,37.851250813453795,Obese
187.5,118.0,33.56444444444445,Obese
193.1,56.0,15.018393509264873,Underweight
156.5,97.8,39.93099858118384,Obese
175.9,86.6,27.98892465969701,Overweight
157.5,77.8,31.363063744016127,Obese
186.1,96.4,27.834555329985296,Overweight
157.8,112.0,44.97840233502162,Obese
154.8,92.7,38.684574244336275,Obese
172.0,107.4,36.303407247160635,Obese
154.7,70.7,29.541924671017036,Overweight
190.8,80.6,22.140034896650533,Normal
191.3,62.2,16.996537023895435,Underweight
175.6,90.1,29.219701018570884,Overweight
178.6,101.8,31.914266617677114,Obese
156.6,90.6,36.94406521728494,Obese
163.8,113.8,42.414511278980136,Obese
156.1,110.2,45.2247097636537,Obese
160.7,79.7,30.862177723548463,Obese
169.7,90.1,31.286797145227343,Obese
184.1,95.3,28.1180580778047,Overweight
186.4,106.5,30.651927646484552,Obese
172.2,55.2,18.61541761261316,Normal
164.7,106.5,39.26109513018648,Obese
190.5,54.7,15.07291903472696,Underweight
171.9,100.4,33.976759760957925,Obese
178.0,82.6,26.069940664057565,Overweight
163.3,66.6,24.974790836126747,Overweight
153.3,99.5,42.33882206163255,Obese
158.2,110.9,44.31171795211938,Obese
185.7,108.0,31.318427501755135,Obese
163.8,63.6,23.704419308814913,Normal
156.3,92.3,37.78189571787443,Obese
182.1,96.4,29.070810644379854,Overweight
173.9,53.7,17.757225984013203,Underweight
151.2,73.0,31.931496878586834,Obese
199.5,57.3,14.396894491868768,Underweight
169.1,79.2,27.697333886813734,Overweight
182.8,100.9,30.195260690738284,Obese
199.2,106.4,26.814083643812197,Overweight
181.7,103.4,31.319201729886124,Obese
165.6,69.0,25.161030595813205,Overweight
174.4,60.4,19.858387341132904,Normal
155.1,111.1,46.1838850249896,Obese
158.5,102.0,40.601458866144554,Obese
165.6,102.9,37.522754323321436,Obese
154.2,69.0,29.01885973544894,Overweight
155.7,90.1,37.166149186820334,Obese
192.0,112.9,30.626085069444446,Obese
162.5,108.4,41.0508875739645,Obese
166.1,68.7,24.901039210618936,Overweight
158.7,116.6,46.29613085843588,Obese
170.2,76.5,26.40841423858846,Overweight
184.9,90.1,26.354268645645067,Overweight
197.3,101.2,25.997186035811893,Overweight
176.9,67.6,21.60185418045409,Normal
165.0,77.5,28.466483011937562,Overweight
175.5,115.0,37.33735927468122,Obese
156.4,55.3,22.607452855488905,Normal
183.9,51.4,15.198462648890972,Underweight
166.4,117.5,42.43568555843194,Obese
197.2,111.3,28.620771943106124,Overweight
182.9,106.0,31.68680522569226,Obese
173.8,73.3,24.266348500518426,Normal
161.5,76.4,29.29195142290255,Overweight
154.6,112.8,47.19436211464213,Obese
159.4,118.3,46.55947884869389,Obese
178.5,54.3,17.04211096203187,Underweight
176.0,82.8,26.730371900826444,Overweight
150.5,78.0,34.43670599662256,Obese
187.2,101.6,28.992256556359123,Overweight
152.0,84.5,36.573753462603875,Obese
153.9,55.5,23.43234448839592,Normal
185.6,61.7,17.911387113555296,Underweight
182.3,71.5,21.51457168399517,Normal
160.8,105.1,40.64719932674933,Obese
183.1,104.2,31.080717099554644,Obese
150.9,104.0,45.672507916933995,Obese
163.9,104.4,38.86356098172929,Obese
188.0,79.2,22.40832956088728,Normal
173.7,93.0,30.82359655690484,Obese
192.8,60.1,16.16815309653759,Underweight
157.2,65.7,26.58644601130471,Overweight
193.1,72.6,19.47027444236839,Normal
174.3,85.9,28.274724996206444,Overweight
155.1,62.9,26.147312043850995,Overweight
152.3,111.2,47.94076728508244,Obese
150.1,93.5,41.50020350634554,Obese
181.9,87.6,26.475166988489047,Overweight
161.1,51.1,19.689279283757195,Normal
157.3,89.4,36.131007638838646,Obese
180.1,114.1,35.1769530222737,Obese
170.5,65.7,22.60042483294777,Normal
172.5,65.5,22.01218231463978,Normal
156.7,114.0,46.42659771638154,Obese
162.7,108.3,40.912248704162145,Obese
155.0,97.6,40.62434963579604,Obese
166.7,101.3,36.45341717499332,Obese
165.4,54.1,19.775444527136585,Normal
188.9,103.3,28.949189268566364,Overweight
199.3,102.1,25.70461744051999,Overweight
200.0,53.5,13.375,Underweight
169.3,105.3,36.73791076769673,Obese
189.7,94.9,26.371300688682773,Overweight
164.0,90.0,33.462224866151104,Obese
157.2,86.0,34.801131765178155,Obese
182.0,85.9,25.932858350440767,Overweight
173.8,66.4,21.982067400196776,Normal
179.7,50.2,15.545602653776825,Underweight
168.3,117.2,41.377036239152204,Obese
165.1,82.3,30.19295979420361,Obese
196.4,53.0,13.740195204101527,Underweight
194.2,73.2,19.409423221943044,Normal
156.2,76.1,31.19051873808326,Obese
182.6,111.0,33.29058542244254,Obese
167.9,74.0,26.25006163443525,Overweight
178.4,111.5,35.03363228699551,Obese
160.4,81.0,31.483013165341006,Obese
186.2,61.7,17.796139881697496,Underweight
165.5,70.0,25.55653927948814,Overweight
184.4,109.3,32.143882251636306,Obese
157.2,61.2,24.76545655847562,Normal
156.7,93.1,37.91505480171159,Obese
167.4,100.8,35.97076091006024,Obese
199.9,71.9,17.992988490243118,Underweight
193.1,106.3,28.508129107765285,Overweight
181.0,71.9,21.94682701993224,Normal
165.4,69.0,25.22191631002633,Overweight
158.2,55.3,22.095924280903528,Normal
187.2,91.0,25.967473884140553,Overweight
160.2,87.3,34.01646817882142,Obese
170.6,96.4,33.12218512965068,Obese
176.5,82.8,26.579139548507733,Overweight
154.6,64.4,26.944298937792144,Overweight
189.0,57.3,16.040984294952548,Underweight
197.1,84.9,21.854176271306862,Normal
157.3,87.6,35.403537686378804,Obese
193.4,115.3,30.82594277122284,Obese
174.2,84.6,27.878799063061447,Overweight
156.8,115.3,46.89615004164931,Obese
180.4,94.5,29.03746785905674,Overweight
196.5,60.5,15.668602580787185,Underweight
197.9,56.0,14.298696188708064,Underweight
186.0,117.3,33.90565383281304,Obese
174.7,64.3,21.068089904059917,Normal
159.3,74.3,29.27906893348922,Overweight
180.0,52.5,16.203703703703702,Underweight
180.7,69.2,21.19287074278256,Normal
155.6,116.9,48.283119989955125,Obese
162.7,56.4,21.306101818234026,Normal
165.4,112.9,41.26890364350685,Obese
193.0,54.6,14.658111627157776,Underweight
179.2,95.6,29.770208864795922,Overweight
162.2,84.7,32.19450192406811,Obese
165.5,101.1,36.91094458794643,Obese
157.3,104.4,42.19325724267063,Obese
152.2,97.4,42.046480787262084,Obese
175.5,63.7,20.681650311279945,Normal
151.6,94.4,41.07462354063255,Obese
199.6,93.3,23.41858064827049,Normal
188.6,109.5,30.784403468544806,Obese
188.9,58.0,16.254143054954977,Underweight
187.7,92.2,26.16991884202935,Overweight
182.1,64.4,19.420749019689445,Normal
153.5,96.4,40.91290093263589,Obese
172.8,86.3,28.90169538751714,Overweight
163.9,63.3,23.5638257676577,Normal
164.9,58.6,21.55044809118561,Normal
168.5,98.9,34.8334492687265,Obese
166.0,107.3,38.93888808245028,Obese
183.1,75.9,22.639409096508615,Normal
150.4,93.5,41.334809302851966,Obese
168.3,106.4,37.564135288786645,Obese
197.2,100.7,25.89498413900078,Overweight
162.9,101.1,38.098597361135134,Obese
181.1,89.0,27.136454594765837,Overweight
178.0,59.6,18.810756217649285,Normal
174.5,116.3,38.193446687629816,Obese
156.1,71.5,29.342710962806166,Overweight
191.8,58.0,15.766336370980804,Underweight
178.4,110.5,34.71942930684309,Obese
176.9,111.8,35.726143452289456,Obese
197.5,111.3,28.533888799871814,Overweight
154.1,86.2,36.299612453209505,Obese
174.6,71.6,23.486837530129414,Normal
185.3,106.8,31.104298713103322,Obese
189.9,114.9,31.861784742447803,Obese
150.0,50.7,22.533333333333335,Normal
184.1,113.4,33.4584237777865,Obese
197.8,66.5,16.996874619806746,Underweight
186.5,105.6,30.360313090728745,Obese
171.0,106.7,36.48986012790261,Obese
193.8,89.3,23.776280377992265,Normal
193.9,80.6,21.437760940239976,Normal
184.4,65.7,19.321619981084222,Normal
183.3,66.8,19.88160918411292,Normal
167.2,84.8,30.333554634738217,Obese
162.1,60.0,22.834169507935062,Normal
181.5,97.4,29.566893578914616,Overweight
150.4,52.2,23.0767598460842,Normal
192.1,51.9,14.064122099342562,Underweight
195.1,85.7,22.514706148931765,Normal
158.2,68.6,27.410133918082856,Overweight
178.6,83.4,26.145872651417207,Overweight
158.9,89.0,35.248627580823324,Obese
174.7,71.8,23.52548763781496,Normal
181.9,111.5,33.69841460292841,Obese
169.5,84.7,29.481121814115784,Overweight
194.7,107.6,28.384442476526782,Overweight
194.6,112.5,29.70755094646937,Overweight
176.5,112.2,36.016660112832945,Obese
179.0,54.6,17.040666645859993,Underweight
150.1,53.1,23.568564772052923,Normal
166.9,91.4,32.81206191499666,Obese
188.0,78.7,22.266862833861477,Normal
199.7,104.0,26.078175851659314,Overweight
197.3,116.8,30.004657401016093,Obese
154.7,54.7,22.856340587052784,Normal
170.9,94.1,32.21851342204095,Obese
152.7,92.3,39.584359932050425,Obese
191.9,110.8,30.08775686268333,Obese
186.5,72.0,20.700213470951418,Normal
196.1,86.1,22.389683998605133,Normal
175.1,115.8,37.76906791615529,Obese
155.2,119.7,49.69477362100118,Obese
179.2,89.7,27.932926100127556,Overweight
193.4,64.6,17.271083287259284,Underweight
152.5,105.5,45.36414942219834,Obese
190.7,76.3,20.980853527519432,Normal
181.2,113.9,34.69024263068385,Obese
156.6,105.7,43.10140942016576,Obese
183.0,115.8,34.57851831944817,Obese
153.1,65.0,27.730836818530687,Overweight
158.7,79.1,31.40672342111731,Obese
152.9,67.5,28.872793316568572,Overweight
179.2,115.8,36.06056680484694,Obese
164.4,101.4,37.5175377839345,Obese
164.4,51.7,19.12876433362341,Normal
182.3,69.6,20.942855793091802,Normal
155.5,101.6,42.017762430082406,Obese
181.7,97.7,29.59270801750362,Overweight
184.9,52.6,15.385510885248953,Underweight
192.9,77.0,20.693133991267498,Normal
183.6,105.6,31.326982499608413,Obese
182.7,73.7,22.07955891212785,Normal
182.8,66.8,19.99051946621722,Normal
152.1,99.7,43.09597694516524,Obese
172.1,95.7,32.31098495834179,Obese
177.6,51.8,16.42267267267267,Underweight
183.3,113.4,33.7511149921917,Obese
164.6,84.1,31.041045046055906,Obese
183.9,110.0,32.52589282836589,Obese
169.8,77.3,26.810451150872428,Overweight
185.8,76.3,22.10207858027602,Normal
159.3,58.5,23.05283354790201,Normal
165.2,105.9,38.80394444477016,Obese
197.5,50.3,12.895369331837845,Underweight
187.9,70.3,19.911398525083687,Normal
194.9,55.1,14.505340255530918,Underweight
160.0,99.8,38.98437499999999,Obese
197.1,100.2,25.792561394404565,Overweight
187.2,71.9,20.517157937029737,Normal
179.5,99.2,30.788091340073404,Obese
150.6,67.4,29.71734134731548,Overweight
152.6,72.0,30.918856895506284,Obese
188.6,106.5,29.9409951543381,Obese
183.4,101.7,30.235857526974424,Obese
160.7,104.2,40.3492963462202,Obese
172.1,57.9,19.54865234156729,Normal
182.8,59.3,17.746074915369476,Underweight
150.8,71.2,31.309584954513152,Obese
183.9,57.2,16.913464270750264,Underweight
170.1,86.5,29.89561419243306,Overweight
154.7,87.2,36.436433257605174,Obese
158.2,74.3,29.687652334016857,Overweight
171.3,79.0,26.922312769798207,Overweight
181.3,57.0,17.341204008921288,Underweight
167.2,97.5,34.87643368970491,Obese
155.5,68.5,28.328904787998475,Overweight
191.3,104.4,28.527949602808416,Overweight
175.0,104.0,33.95918367346939,Obese
164.1,91.4,33.94134386183423,Obese
184.2,80.7,23.78451407088316,Normal
