Age,Gender,Weight (kg),Height (cm),Activity Level,Goal,Daily Caloric Need
34,Female,92.0,175.7,moderate,muscle_gain,2615.0437500000003
53,Female,74.5,151.7,moderate,muscle_gain,1964.04375
57,Male,81.1,175.8,moderate,muscle_gain,2526.1125
21,Male,54.5,179.7,high,muscle_gain,2744.21875
19,Male,105.7,167.9,low,muscle_gain,2419.65
23,Female,66.9,188.1,moderate,muscle_gain,2431.36875
59,Female,82.2,156.8,moderate,maintenance,2086.3
21,Male,83.6,193.9,low,muscle_gain,2337.45
46,Female,89.2,197.8,moderate,maintenance,2692.7375
35,Male,107.3,150.1,low,muscle_gain,2209.35
43,Male,98.4,192.1,low,muscle_gain,2369.5499999999997
61,Male,96.4,175.3,moderate,weight_loss,2727.4187500000003
51,Male,86.9,173.1,high,muscle_gain,2976.53125
27,Female,56.7,161.9,low,weight_loss,1539.45
53,Female,78.1,172.4,high,weight_loss,2506.875
31,Female,117.0,197.5,moderate,weight_loss,3236.9812500000003
48,Male,119.7,160.5,low,maintenance,2358.15
32,Female,101.1,159.0,low,weight_loss,2020.5
25,Male,65.9,162.1,moderate,weight_loss,2405.7937500000003
31,Male,57.1,177.6,high,weight_loss,2679.25
40,Male,79.0,196.5,moderate,muscle_gain,2825.84375
57,Male,110.0,178.7,moderate,maintenance,3002.15625
38,Male,100.5,162.2,moderate,maintenance,2842.3125
33,Male,111.9,172.0,high,maintenance,3559.5
62,Female,93.1,169.5,low,maintenance,1823.25
35,Female,59.1,152.3,low,muscle_gain,1448.25
64,Female,58.0,175.5,moderate,weight_loss,1853.60625
41,Female,53.4,156.3,moderate,muscle_gain,1774.55625
43,Male,89.7,192.1,high,maintenance,3303.34375
42,Male,67.0,177.4,moderate,muscle_gain,2439.3125
62,Female,101.4,192.2,high,muscle_gain,3052.4375
58,Female,98.0,197.8,high,maintenance,3089.1875
46,Female,72.3,197.2,high,weight_loss,2737.875
32,Female,62.4,155.0,moderate,muscle_gain,1971.2125
62,Female,57.2,197.2,low,maintenance,1600.2
18,Female,101.6,189.8,high,muscle_gain,3414.6875
42,Female,81.5,188.9,low,muscle_gain,1949.55
24,Female,72.6,154.5,high,muscle_gain,2468.59375
26,Male,110.0,159.0,moderate,weight_loss,3051.5625
41,Male,91.6,198.8,high,muscle_gain,3427.375
18,Male,86.3,160.7,high,muscle_gain,3119.15625
61,Male,102.0,158.5,low,weight_loss,2052.75
25,Female,107.1,168.1,moderate,muscle_gain,2845.21875
41,Male,98.0,195.7,high,muscle_gain,3505.46875
28,Female,80.8,173.8,moderate,weight_loss,2469.5375
34,Male,76.6,196.0,low,maintenance,2191.2
25,Female,104.0,166.7,moderate,muscle_gain,2783.6062500000003
52,Female,86.3,161.3,moderate,maintenance,2247.69375
52,Male,99.3,174.8,low,maintenance,2196.6
50,Male,112.3,180.8,high,maintenance,3514.0
22,Female,114.1,169.6,high,weight_loss,3377.5
59,Female,69.4,167.3,moderate,weight_loss,1989.61875
56,Female,63.2,160.9,high,muscle_gain,2094.09375
58,Male,68.3,163.8,low,maintenance,1706.1
45,Male,102.6,183.7,moderate,weight_loss,3028.89375
24,Female,75.9,168.5,moderate,weight_loss,2373.24375
26,Male,62.1,154.0,high,maintenance,2552.375
25,Female,56.9,156.9,high,weight_loss,2211.34375
29,Male,72.9,168.6,high,maintenance,2874.8125
51,Male,59.5,196.2,moderate,weight_loss,2435.4375
50,Male,60.9,169.0,high,maintenance,2485.4375
40,Male,97.9,153.0,moderate,weight_loss,2697.3875000000003
41,Male,51.4,170.9,high,weight_loss,2418.71875
54,Female,58.2,183.4,moderate,weight_loss,2010.7375
52,Female,109.1,179.7,moderate,weight_loss,2779.34375
61,Male,109.1,163.9,moderate,maintenance,2813.83125
57,Female,73.0,184.4,high,muscle_gain,2513.875
39,Female,56.2,181.5,high,muscle_gain,2345.65625
44,Male,99.3,158.6,low,weight_loss,2123.1
52,Female,75.2,158.1,moderate,muscle_gain,2044.64375
18,Male,53.2,177.4,high,weight_loss,2722.5625
52,Female,61.0,183.0,low,muscle_gain,1599.3
54,Female,59.6,198.1,low,weight_loss,1683.75
64,Female,91.2,171.1,high,muscle_gain,2625.65625
31,Female,112.9,188.2,moderate,muscle_gain,3083.3375
20,Female,105.5,155.8,low,weight_loss,2121.2999999999997
18,Female,88.3,194.5,low,muscle_gain,2217.15
22,Female,79.6,181.7,moderate,weight_loss,2573.96875
43,Male,93.3,181.5,high,muscle_gain,3250.40625
31,Male,81.1,157.1,moderate,maintenance,2546.45625
56,Male,67.2,152.0,moderate,maintenance,2087.85
44,Male,97.5,185.1,high,maintenance,3354.53125
26,Female,111.1,155.9,low,weight_loss,2153.25
32,Female,76.1,156.3,moderate,weight_loss,2196.15625
32,Female,108.9,159.4,low,weight_loss,2117.1
43,Male,80.2,154.9,low,maintenance,1872.1499999999999
59,Male,78.1,181.3,low,muscle_gain,1948.9499999999998
30,Male,52.0,171.1,high,weight_loss,2527.65625
49,Female,98.7,163.3,low,maintenance,1921.9499999999998
56,Male,106.5,172.0,moderate,weight_loss,2890.75
49,Female,96.4,192.2,moderate,weight_loss,2726.8375
21,Male,60.6,196.4,moderate,muscle_gain,2686.925
47,Female,57.2,174.4,high,weight_loss,2215.5
54,Male,90.1,178.3,moderate,weight_loss,2713.08125
40,Female,78.1,162.9,high,muscle_gain,2516.71875
56,Male,80.0,175.7,low,weight_loss,1947.75
62,Male,117.7,187.4,low,weight_loss,2451.9
32,Female,100.7,174.6,high,muscle_gain,3110.1875
60,Female,78.8,165.1,high,weight_loss,2378.03125
46,Male,51.3,179.1,high,weight_loss,2462.90625
53,Female,52.4,197.3,low,maintenance,1597.35
30,Male,97.9,194.4,high,muscle_gain,3585.75
49,Female,108.6,188.5,low,maintenance,2229.75
24,Male,99.5,163.8,low,muscle_gain,2284.5
39,Female,78.4,162.1,moderate,weight_loss,2233.74375
45,Male,52.2,191.9,low,maintenance,1801.6499999999999
19,Male,117.7,159.1,high,maintenance,3642.40625
59,Male,119.0,180.3,high,maintenance,3547.03125
62,Female,88.5,171.9,high,maintenance,2604.65625
23,Male,54.9,173.4,low,muscle_gain,1827.3
45,Female,87.9,172.7,low,weight_loss,1886.85
45,Female,112.5,195.0,moderate,weight_loss,3034.5125000000003
61,Female,97.6,154.4,moderate,maintenance,2286.25
61,Male,100.4,189.1,high,weight_loss,3300.28125
37,Female,55.9,191.8,low,weight_loss,1694.1
47,Female,57.5,197.1,high,muscle_gain,2469.03125
28,Female,58.9,172.6,high,weight_loss,2391.8125
45,Male,113.3,175.0,high,weight_loss,3511.8125
42,Female,86.8,198.1,moderate,weight_loss,2689.44375
56,Female,105.4,172.9,high,weight_loss,2963.84375
50,Female,58.1,175.2,moderate,maintenance,1960.75
18,Female,114.9,166.6,low,muscle_gain,2327.1
44,Male,107.5,151.6,high,muscle_gain,3163.125
30,Male,65.7,171.7,moderate,muscle_gain,2456.94375
58,Female,111.2,182.8,low,weight_loss,2164.2
20,Female,68.4,184.5,moderate,maintenance,2442.99375
56,Female,64.4,150.3,high,muscle_gain,1999.15625
23,Female,68.5,190.1,low,maintenance,1916.55
25,Male,113.7,174.6,low,muscle_gain,2529.9
44,Male,114.1,176.0,low,maintenance,2431.2
26,Male,73.0,198.1,moderate,weight_loss,2856.84375
54,Male,99.4,164.2,moderate,weight_loss,2720.6375000000003
50,Female,97.3,188.1,moderate,muscle_gain,2693.31875
59,Female,106.5,178.7,low,muscle_gain,2071.0499999999997
61,Male,70.8,185.0,high,muscle_gain,2737.4375
41,Male,85.7,170.9,high,weight_loss,3018.96875
32,Female,96.7,164.0,low,weight_loss,2005.1999999999998
49,Female,51.8,177.3,high,muscle_gain,2135.21875
49,Female,76.4,168.7,low,muscle_gain,1694.85
41,Female,98.7,161.1,high,weight_loss,2848.78125
58,Female,67.7,192.0,high,muscle_gain,2495.5
29,Male,117.0,173.8,high,muscle_gain,3703.4375
56,Male,52.1,192.4,moderate,muscle_gain,2245.175
19,Female,117.1,173.7,moderate,weight_loss,3100.96875
20,Female,65.2,177.8,low,weight_loss,1802.7
54,Male,53.4,199.8,moderate,maintenance,2352.5125000000003
34,Female,70.5,197.6,low,maintenance,1930.8
19,Male,105.0,163.6,moderate,maintenance,3072.875
19,Male,102.7,193.4,high,maintenance,3755.0625
45,Male,64.6,169.5,moderate,muscle_gain,2302.33125
40,Male,63.8,153.6,moderate,weight_loss,2174.65
54,Female,95.0,178.8,moderate,weight_loss,2536.5750000000003
49,Female,82.1,198.9,low,maintenance,1989.75
50,Male,105.5,198.7,low,muscle_gain,2462.25
18,Female,51.7,156.3,high,weight_loss,2175.03125
36,Female,92.7,188.6,high,weight_loss,3088.3125
19,Female,101.1,190.1,high,muscle_gain,3400.46875
61,Female,119.5,168.4,moderate,muscle_gain,2761.3250000000003
43,Male,97.5,182.9,high,maintenance,3339.21875
49,Female,66.2,174.4,low,maintenance,1615.2
23,Male,57.6,161.4,high,muscle_gain,2580.8125
49,Male,94.9,188.1,high,weight_loss,3298.09375
21,Female,86.6,163.1,high,muscle_gain,2833.90625
28,Male,112.9,167.0,high,muscle_gain,3566.0625
34,Female,100.9,159.5,high,weight_loss,2931.03125
55,Female,85.7,186.0,low,weight_loss,1900.1999999999998
41,Male,78.3,172.9,moderate,maintenance,2578.61875
22,Female,78.3,172.2,high,muscle_gain,2779.4375
51,Male,65.8,180.2,moderate,maintenance,2378.0875
23,Male,51.2,157.9,high,muscle_gain,2430.53125
39,Female,90.2,194.9,moderate,muscle_gain,2734.39375
28,Female,64.9,173.3,low,weight_loss,1717.35
33,Female,64.6,168.3,moderate,muscle_gain,2126.40625
50,Male,58.8,156.3,high,muscle_gain,2309.78125
26,Female,63.3,158.4,moderate,weight_loss,2064.6
23,Male,52.2,196.0,moderate,weight_loss,2537.35
33,Male,97.2,172.8,high,weight_loss,3311.0
46,Female,78.1,186.1,moderate,muscle_gain,2407.34375
20,Female,89.3,154.0,high,weight_loss,2790.375
37,Female,94.6,182.2,low,muscle_gain,2086.5
53,Male,118.1,196.1,high,maintenance,3756.59375
36,Female,54.8,165.0,low,weight_loss,1485.8999999999999
43,Male,79.3,179.0,moderate,maintenance,2637.7125
20,Female,67.2,197.0,high,maintenance,2873.9375
36,Female,83.4,186.0,moderate,weight_loss,2566.025
37,Male,114.4,153.1,low,weight_loss,2305.0499999999997
49,Male,100.7,168.9,low,muscle_gain,2187.15
24,Female,96.3,154.3,moderate,weight_loss,2551.88125
58,Female,80.9,193.1,high,maintenance,2738.53125
50,Female,97.0,181.1,high,maintenance,2959.03125
57,Female,52.3,197.8,high,maintenance,2298.1875
56,Female,91.0,151.0,high,muscle_gain,2472.3125
35,Male,88.8,171.2,low,muscle_gain,2145.6
57,Male,74.3,155.2,high,weight_loss,2507.75
18,Male,64.1,167.5,moderate,weight_loss,2484.45625
28,Male,106.5,158.1,low,weight_loss,2301.75
45,Female,53.8,166.4,moderate,maintenance,1847.6000000000001
42,Male,54.9,191.0,moderate,maintenance,2383.5125000000003
40,Male,80.8,158.0,moderate,maintenance,2480.775
48,Male,67.7,173.7,low,weight_loss,1833.1499999999999
47,Female,102.2,196.1,high,weight_loss,3240.34375
59,Male,94.4,199.9,moderate,maintenance,2950.2312500000003
52,Female,104.1,162.5,moderate,weight_loss,2535.21875
24,Male,72.7,196.8,high,muscle_gain,3223.5
33,Female,101.8,163.1,high,weight_loss,2994.90625
43,Male,110.4,170.7,high,maintenance,3431.53125
19,Female,74.2,193.9,high,weight_loss,2971.28125
18,Male,73.8,189.3,moderate,muscle_gain,2845.99375
29,Female,113.0,192.9,low,maintenance,2435.5499999999997
22,Female,53.5,190.0,high,weight_loss,2540.125
54,Male,74.5,161.8,high,weight_loss,2609.6875
49,Female,58.3,177.9,moderate,weight_loss,1997.7562500000001
26,Female,52.0,169.3,high,weight_loss,2252.46875
58,Male,57.9,173.0,moderate,muscle_gain,2131.6375000000003
52,Male,80.2,157.7,moderate,weight_loss,2375.56875
36,Female,98.1,165.8,moderate,weight_loss,2598.1875
33,Male,70.2,192.9,moderate,maintenance,2708.81875
20,Male,109.5,194.9,high,muscle_gain,3881.71875
37,Male,80.6,180.5,low,maintenance,2104.95
41,Female,117.8,174.9,high,muscle_gain,3333.96875
50,Female,116.8,185.6,low,weight_loss,2300.4
41,Female,104.1,180.4,high,muscle_gain,3154.375
28,Female,115.3,199.2,moderate,maintenance,3250.35
25,Female,99.5,159.5,high,weight_loss,2985.28125
53,Female,112.7,172.5,moderate,maintenance,2757.64375
55,Female,66.6,195.9,high,maintenance,2545.15625
57,Male,74.2,195.7,moderate,muscle_gain,2611.94375
37,Female,102.7,174.8,low,weight_loss,2128.2
52,Female,79.7,156.7,moderate,maintenance,2100.83125
42,Male,108.6,190.7,high,maintenance,3627.53125
52,Male,111.4,179.3,moderate,muscle_gain,3068.4187500000003
42,Male,71.0,188.7,low,maintenance,2021.25
46,Female,107.6,173.1,low,weight_loss,2120.25
35,Male,60.8,160.2,high,weight_loss,2518.6875
63,Female,73.4,151.2,moderate,muscle_gain,1864.65
35,Female,86.3,178.0,high,maintenance,2869.125
19,Female,65.9,158.1,moderate,muscle_gain,2156.24375
52,Male,90.5,159.4,low,muscle_gain,1975.5
33,Male,90.5,171.8,high,maintenance,3182.8125
58,Female,64.5,172.1,low,weight_loss,1523.55
53,Female,105.7,163.7,moderate,muscle_gain,2563.89375
50,Female,94.2,156.6,low,weight_loss,1811.7
21,Male,72.2,197.2,moderate,weight_loss,2874.475
50,Female,66.3,156.6,high,maintenance,2153.8125
31,Male,111.5,167.5,moderate,maintenance,3118.40625
38,Female,108.5,165.2,moderate,weight_loss,2738.0750000000003
37,Male,66.1,193.3,high,weight_loss,2955.96875
25,Female,52.5,170.5,high,weight_loss,2283.09375
24,Male,106.3,156.2,low,muscle_gain,2309.1
20,Male,93.1,150.5,moderate,weight_loss,2753.76875
34,Male,57.1,186.1,moderate,muscle_gain,2432.14375
50,Male,91.1,185.7,low,maintenance,2191.95
29,Male,81.7,170.9,moderate,maintenance,2704.94375
39,Male,104.2,156.3,moderate,weight_loss,2834.75625
39,Female,64.6,168.6,high,maintenance,2351.5625
63,Female,81.7,179.5,high,weight_loss,2560.03125
47,Female,60.9,185.2,high,muscle_gain,2398.375
55,Female,117.0,153.9,low,weight_loss,2035.05
55,Male,104.5,177.8,high,maintenance,3300.9375
62,Female,101.6,163.8,low,weight_loss,1882.5
25,Male,98.3,180.9,high,maintenance,3488.84375
44,Male,79.6,182.4,moderate,muscle_gain,2667.55
44,Male,114.6,195.5,moderate,maintenance,3336.95625
51,Female,55.1,170.5,high,maintenance,2101.09375
38,Male,106.2,176.9,high,maintenance,3469.59375
47,Female,65.1,163.4,low,maintenance,1531.5
50,Female,72.7,164.3,moderate,maintenance,2081.45625
45,Female,86.4,152.3,high,maintenance,2502.28125
64,Female,104.8,164.3,high,weight_loss,2789.28125
50,Female,108.7,153.2,moderate,muscle_gain,2531.925
22,Male,90.9,198.2,high,weight_loss,3574.8125
36,Male,78.2,181.2,moderate,muscle_gain,2696.225
21,Female,116.3,158.7,high,weight_loss,3305.53125
52,Male,67.3,155.8,moderate,muscle_gain,2157.2125
34,Female,106.2,168.5,low,muscle_gain,2140.95
61,Male,92.8,165.4,high,weight_loss,2908.0625
45,Male,76.4,164.0,high,weight_loss,2745.75
47,Male,50.1,173.4,high,muscle_gain,2370.8125
46,Male,81.3,195.6,low,maintenance,2172.6
63,Male,69.4,178.4,high,muscle_gain,2623.25
23,Male,57.3,176.1,high,maintenance,2736.34375
52,Male,55.3,190.3,moderate,muscle_gain,2305.43125
58,Male,74.3,150.2,high,maintenance,2444.3125
54,Male,93.0,159.9,high,weight_loss,2912.65625
41,Male,108.6,174.8,moderate,weight_loss,3066.675
46,Male,62.8,185.3,low,maintenance,1873.35
63,Male,79.7,174.3,low,maintenance,1891.6499999999999
48,Male,77.4,158.2,moderate,maintenance,2368.0125000000003
52,Female,85.9,196.5,low,maintenance,1999.35
50,Male,106.7,166.4,low,weight_loss,2234.4
38,Male,88.8,189.4,high,muscle_gain,3301.8125
49,Male,109.3,194.6,high,weight_loss,3621.1875
40,Male,86.3,167.3,high,muscle_gain,2998.84375
50,Male,92.3,192.3,low,weight_loss,2255.85
20,Male,80.6,185.5,high,maintenance,3273.15625
35,Female,107.6,195.2,low,weight_loss,2352.0
42,Female,114.7,162.6,high,weight_loss,3136.4375
59,Female,94.7,196.6,low,maintenance,2063.7
48,Male,107.5,153.3,moderate,maintenance,2787.09375
20,Male,54.1,189.7,moderate,weight_loss,2529.01875
57,Male,113.4,171.8,high,weight_loss,3373.5625
63,Female,63.2,158.9,low,muscle_gain,1378.95
41,Male,68.0,154.0,moderate,muscle_gain,2235.875
49,Male,53.7,169.5,moderate,weight_loss,2102.38125
64,Female,117.6,169.5,high,muscle_gain,3070.15625
39,Female,109.6,161.5,high,maintenance,3061.40625
40,Male,113.9,160.8,low,weight_loss,2338.7999999999997
19,Male,109.3,170.0,moderate,weight_loss,3201.525
44,Male,83.6,170.5,low,muscle_gain,2023.9499999999998
59,Male,114.7,172.1,low,weight_loss,2319.15
19,Female,117.9,193.4,high,weight_loss,3730.5625
43,Male,85.2,180.6,low,maintenance,2124.9
34,Male,62.3,151.0,low,weight_loss,1682.1
57,Female,96.1,176.0,moderate,muscle_gain,2503.25
50,Male,118.3,188.1,low,maintenance,2536.35
26,Male,111.1,152.8,moderate,muscle_gain,3008.55
60,Female,110.3,171.1,moderate,weight_loss,2652.63125
56,Female,115.4,172.6,low,muscle_gain,2150.1
46,Male,112.6,197.7,low,muscle_gain,2563.95
59,Female,104.3,173.8,moderate,maintenance,2593.5375
43,Female,100.3,187.5,low,weight_loss,2158.65
52,Male,68.5,165.1,moderate,maintenance,2265.90625
42,Female,93.5,189.0,low,weight_loss,2094.2999999999997
41,Male,86.5,166.1,moderate,maintenance,2639.84375
30,Male,110.3,171.5,moderate,weight_loss,3146.30625
24,Male,84.4,174.0,high,maintenance,3178.875
53,Male,58.9,196.3,low,weight_loss,1867.05
62,Female,50.3,152.7,moderate,maintenance,1528.8812500000001
37,Male,97.5,159.8,moderate,muscle_gain,2780.3125
18,Male,88.5,185.3,low,maintenance,2349.75
25,Male,73.2,178.9,low,muscle_gain,2076.15
63,Male,61.8,162.6,low,maintenance,1589.1
33,Female,82.7,164.5,high,muscle_gain,2675.96875
31,Female,57.0,168.4,low,weight_loss,1567.8
29,Female,73.5,172.5,high,muscle_gain,2637.46875
40,Male,76.5,190.9,low,weight_loss,2115.75
32,Female,82.6,150.7,high,muscle_gain,2532.03125
45,Female,82.7,194.9,low,weight_loss,1990.9499999999998
51,Male,68.0,170.7,high,muscle_gain,2619.53125
19,Female,109.5,161.5,moderate,maintenance,2864.9812500000003
49,Male,74.9,175.4,high,weight_loss,2809.1875
40,Female,66.1,183.0,high,weight_loss,2526.5625
39,Female,62.3,152.2,moderate,muscle_gain,1888.2875000000001
42,Female,72.6,185.8,low,maintenance,1819.5
39,Female,54.7,188.0,moderate,weight_loss,2117.3
39,Male,52.3,158.3,moderate,weight_loss,2049.68125
59,Male,92.4,158.4,moderate,maintenance,2517.2000000000003
23,Female,93.3,160.2,high,maintenance,2901.9375
32,Male,87.1,189.8,moderate,maintenance,2948.4875
60,Female,103.4,163.6,low,weight_loss,1914.6
54,Female,52.7,189.8,high,muscle_gain,2243.9375
50,Female,115.5,177.0,high,muscle_gain,3237.9375
25,Female,56.7,188.4,moderate,weight_loss,2260.675
61,Female,97.2,177.7,high,weight_loss,2829.09375
61,Female,59.3,166.8,low,weight_loss,1403.3999999999999
22,Male,111.6,195.5,high,weight_loss,3907.53125
56,Male,85.7,185.8,moderate,maintenance,2702.0375
21,Female,55.8,174.2,moderate,weight_loss,2140.1625
23,Male,93.2,181.9,moderate,weight_loss,3036.25625
62,Female,50.6,180.8,high,weight_loss,2038.75
49,Male,104.3,167.9,moderate,maintenance,2871.18125
47,Male,95.5,171.2,high,maintenance,3141.25
64,Male,64.9,165.9,moderate,maintenance,2124.8562500000003
52,Female,76.2,200.0,moderate,weight_loss,2466.05
57,Male,50.5,179.0,moderate,maintenance,2082.8125
33,Female,98.6,154.6,low,weight_loss,1951.5
30,Female,72.6,176.0,low,weight_loss,1818.0
59,Female,90.0,152.5,moderate,muscle_gain,2165.5437500000003
47,Male,117.0,164.4,moderate,maintenance,3049.625
36,Male,71.0,172.3,high,muscle_gain,2820.78125
34,Male,119.3,176.7,high,muscle_gain,3731.65625
36,Female,94.3,198.8,low,maintenance,2213.4
45,Female,66.9,199.1,high,maintenance,2672.90625
43,Male,80.6,154.9,high,muscle_gain,2737.21875
54,Female,101.8,176.9,high,weight_loss,2962.09375
43,Male,81.3,190.9,high,muscle_gain,3143.21875
40,Male,54.8,161.9,low,maintenance,1637.85
26,Male,61.8,187.5,low,weight_loss,1997.85
29,Male,105.4,193.9,high,muscle_gain,3720.28125
18,Female,95.4,183.1,high,muscle_gain,3232.90625
18,Male,89.9,166.4,low,muscle_gain,2224.7999999999997
64,Male,61.7,196.2,moderate,maintenance,2368.7875
51,Male,108.6,194.2,high,muscle_gain,3587.0625
49,Male,117.3,185.8,moderate,maintenance,3246.0875
42,Male,52.9,168.2,high,weight_loss,2406.6875
57,Male,55.5,189.6,low,weight_loss,1752.0
62,Male,111.9,165.8,high,muscle_gain,3237.9375
18,Female,107.1,162.6,moderate,maintenance,2846.1875
33,Female,93.3,175.8,low,muscle_gain,2046.8999999999999
56,Female,116.1,199.9,high,weight_loss,3446.40625
22,Female,95.3,190.2,high,maintenance,3273.8125
39,Male,65.1,186.5,low,weight_loss,1951.9499999999998
46,Female,101.0,172.6,high,weight_loss,2971.0625
20,Female,95.2,165.6,low,maintenance,2071.2
29,Female,119.0,192.8,high,maintenance,3655.75
43,Male,65.0,178.4,low,maintenance,1866.0
33,Female,91.9,190.7,high,muscle_gain,3123.53125
54,Female,104.6,174.4,low,muscle_gain,2046.0
39,Male,73.7,187.7,low,maintenance,2064.15
46,Female,76.6,193.4,high,maintenance,2771.5625
31,Male,112.2,169.6,low,muscle_gain,2438.4
45,Female,78.3,150.7,high,maintenance,2343.03125
22,Male,93.7,162.7,high,weight_loss,3235.53125
64,Female,112.2,195.7,high,maintenance,3262.21875
47,Female,64.7,184.4,low,muscle_gain,1684.2
63,Female,118.7,186.9,high,maintenance,3288.46875
22,Male,99.1,166.3,low,maintenance,2310.45
29,Female,84.7,185.1,moderate,weight_loss,2631.70625
33,Male,80.2,182.3,moderate,maintenance,2761.13125
43,Male,116.8,158.9,moderate,muscle_gain,3024.24375
43,Male,64.4,198.4,high,muscle_gain,2929.5
38,Male,71.8,167.7,low,weight_loss,1897.35
56,Female,71.5,166.5,high,weight_loss,2300.59375
53,Female,70.2,168.5,low,muscle_gain,1594.95
50,Female,82.8,154.6,moderate,maintenance,2144.0375
47,Male,119.2,181.2,moderate,muscle_gain,3246.475
54,Female,112.2,161.9,moderate,weight_loss,2639.45625
40,Male,73.0,190.2,high,muscle_gain,3016.5625
27,Male,79.6,169.7,high,weight_loss,3021.59375
22,Male,96.9,172.9,low,muscle_gain,2333.5499999999997
53,Female,51.2,182.3,low,maintenance,1470.45
51,Female,107.4,188.1,moderate,maintenance,2842.11875
48,Male,111.6,161.6,high,weight_loss,3309.25
27,Female,110.0,198.3,high,maintenance,3575.90625
36,Female,76.3,181.1,low,weight_loss,1864.6499999999999
49,Male,82.3,150.3,low,maintenance,1826.85
18,Male,50.9,170.8,high,muscle_gain,2610.125
22,Female,78.0,171.8,high,maintenance,2769.8125
62,Male,82.2,190.5,low,muscle_gain,2049.15
21,Male,113.5,165.3,high,weight_loss,3619.21875
33,Female,112.6,166.6,high,maintenance,3222.1875
41,Female,117.6,153.5,moderate,maintenance,2742.53125
33,Male,112.0,164.2,high,muscle_gain,3475.9375
19,Female,50.6,185.8,high,weight_loss,2469.6875
45,Male,94.9,181.7,high,maintenance,3263.09375
49,Male,54.8,154.1,low,weight_loss,1525.35
44,Female,69.1,155.7,moderate,weight_loss,1988.84375
37,Male,90.5,168.8,low,maintenance,2136.0
41,Male,99.0,187.2,moderate,muscle_gain,3038.0
29,Male,95.8,191.6,moderate,weight_loss,3124.025
52,Female,53.4,150.7,high,weight_loss,1846.03125
50,Female,57.3,166.5,moderate,maintenance,1864.0687500000001
50,Female,59.0,171.2,moderate,weight_loss,1935.95
60,Male,56.4,195.6,high,maintenance,2610.125
54,Male,62.5,175.1,high,weight_loss,2545.15625
